"","nmz","ndz","a","c","e","g","b","x","PGS","A","assortm","e1","e2","e3","e4","e5","e6","e7","e8","Smz","Sdz"
"29",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.1,0.9,0.3,0.05,0.032,0.05,0,0.05,0.036,0.05,0,0.0682455532033676,0.0682455532033676
"30",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.1,0.9,0.3,0.1,0.064,0.1,0,0.1,0.072,0.1,0,0.146491106406735,0.146491106406735
"31",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.05,0,0.1,0.9,0.3,0.028,0.05,0,0.05,0.039,0.05,0,0.05,0.0657455532033678,0.034122776601684
"32",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.05,0,0.1,0.9,0.3,0.079,0.082,0.05,0.05,0.09,0.086,0.05,0.05,0.138991106406735,0.107368329805052
"33",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.05,0,0.1,0.9,0.3,0.131,0.114,0.1,0.05,0.141,0.122,0.1,0.05,0.222236659610103,0.190613883008419
"34",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.1,0.9,0.3,0.06,0.1,0,0.1,0.081,0.1,0,0.1,0.136491106406735,0.0732455532033677
"35",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.1,0,0.1,0.9,0.3,0.112,0.132,0.05,0.1,0.132,0.136,0.05,0.1,0.214736659610103,0.151491106406735
"36",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.1,0.9,0.3,0.164,0.164,0.1,0.1,0.183,0.172,0.1,0.1,0.30298221281347,0.239736659610103
"37",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.1,0.9,0.4,0,0,0,0,0,0,0,0,0,0
"38",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.1,0.9,0.4,0.05,0.033,0.05,0,0.05,0.037,0.05,0,0.0682455532033676,0.0682455532033676
"39",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.1,0.9,0.4,0.1,0.065,0.1,0,0.1,0.074,0.1,0,0.146491106406735,0.146491106406735
"40",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.05,0,0.1,0.9,0.4,0.029,0.05,0,0.05,0.039,0.05,0,0.05,0.0657455532033678,0.034122776601684
"41",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.05,0,0.1,0.9,0.4,0.08,0.083,0.05,0.05,0.09,0.087,0.05,0.05,0.138991106406735,0.107368329805052
"42",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.05,0,0.1,0.9,0.4,0.131,0.115,0.1,0.05,0.141,0.124,0.1,0.05,0.222236659610103,0.190613883008419
"43",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.1,0.9,0.4,0.06,0.1,0,0.1,0.081,0.1,0,0.1,0.136491106406735,0.0732455532033677
"44",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.1,0,0.1,0.9,0.4,0.113,0.133,0.05,0.1,0.132,0.137,0.05,0.1,0.214736659610103,0.151491106406735
"45",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.1,0.9,0.4,0.165,0.165,0.1,0.1,0.184,0.174,0.1,0.1,0.30298221281347,0.239736659610103
