"","nmz","ndz","a","c","e","g","b","x","PGS","A","p1","p2","p3","p4","p5","p6","p7","p8","Smz","Sdz"
"28",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.01,0.02,0,0.12,0.88,0.131,0.163,0.06,0.091,0.125,0.147,0.056,0.077,0.0526139516022557,0.0354093010681704
"29",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.02,0.02,0,0.12,0.88,0.222,0.223,0.091,0.091,0.199,0.202,0.074,0.077,0.0708186021363411,0.0536139516022558
"30",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.03,0.02,0,0.12,0.88,0.343,0.293,0.141,0.09,0.296,0.268,0.103,0.076,0.0894232526704262,0.0722186021363409
"31",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.04,0.02,0,0.12,0.88,0.48,0.371,0.211,0.09,0.408,0.343,0.143,0.076,0.108427903204511,0.0912232526704262
"32",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.05,0.02,0,0.12,0.88,0.618,0.453,0.3,0.089,0.526,0.423,0.194,0.075,0.127832553738597,0.110627903204511
"33",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.06,0.02,0,0.12,0.88,0.74,0.539,0.397,0.089,0.64,0.506,0.255,0.075,0.147637204272682,0.130432553738597
"34",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.07,0.02,0,0.12,0.88,0.837,0.621,0.5,0.088,0.741,0.588,0.322,0.074,0.167841854806767,0.150637204272682
"35",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.08,0.02,0,0.12,0.88,0.906,0.698,0.601,0.088,0.824,0.665,0.395,0.074,0.188446505340852,0.171241854806767
"36",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.09,0.02,0,0.12,0.88,0.95,0.766,0.694,0.087,0.886,0.735,0.469,0.074,0.209451155874938,0.192246505340852
"37",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.1,0.02,0,0.12,0.88,0.975,0.824,0.774,0.087,0.931,0.796,0.543,0.073,0.230855806409023,0.213651155874938
"38",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.11,0.02,0,0.12,0.88,0.989,0.871,0.84,0.086,0.96,0.847,0.614,0.073,0.252660456943108,0.235455806409023
"39",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.12,0.02,0,0.12,0.88,0.995,0.909,0.89,0.086,0.978,0.888,0.68,0.072,0.274865107477194,0.257660456943108
"40",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0,0.03,0,0.12,0.88,0.105,0.203,0.05,0.146,0.111,0.175,0.05,0.112,0.0525139516022557,0.0267069758011278
"41",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.01,0.03,0,0.12,0.88,0.184,0.271,0.06,0.145,0.179,0.237,0.056,0.111,0.0705186021363409,0.044711626335213
"42",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.02,0.03,0,0.12,0.88,0.295,0.348,0.09,0.144,0.271,0.309,0.073,0.11,0.0889232526704262,0.0631162768692983
"43",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.03,0.03,0,0.12,0.88,0.429,0.431,0.14,0.142,0.381,0.388,0.102,0.109,0.107727903204511,0.0819209274033834
"44",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.04,0.03,0,0.12,0.88,0.569,0.516,0.209,0.141,0.5,0.471,0.142,0.108,0.126932553738597,0.101125577937469
"45",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.05,0.03,0,0.12,0.88,0.699,0.6,0.294,0.14,0.616,0.554,0.192,0.107,0.146537204272682,0.120730228471554
"46",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.06,0.03,0,0.12,0.88,0.806,0.679,0.391,0.139,0.721,0.634,0.251,0.106,0.166541854806767,0.140734879005639
"47",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.07,0.03,0,0.12,0.88,0.885,0.75,0.494,0.138,0.809,0.708,0.318,0.105,0.186946505340853,0.161139529539725
"48",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.08,0.03,0,0.12,0.88,0.937,0.811,0.594,0.136,0.876,0.773,0.389,0.104,0.207751155874938,0.18194418007381
"49",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.09,0.03,0,0.12,0.88,0.968,0.862,0.687,0.135,0.924,0.829,0.463,0.103,0.228955806409023,0.203148830607895
"50",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.1,0.03,0,0.12,0.88,0.985,0.902,0.768,0.134,0.956,0.874,0.537,0.102,0.250560456943108,0.22475348114198
"51",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.11,0.03,0,0.12,0.88,0.994,0.932,0.834,0.133,0.975,0.91,0.608,0.101,0.272565107477194,0.246758131676066
"52",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.12,0.03,0,0.12,0.88,0.997,0.955,0.886,0.132,0.987,0.937,0.673,0.101,0.294969758011279,0.269162782210151
"53",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0,0.04,0,0.12,0.88,0.15,0.324,0.05,0.222,0.161,0.275,0.05,0.161,0.0704186021363409,0.0360093010681704
"54",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.01,0.04,0,0.12,0.88,0.25,0.407,0.06,0.22,0.248,0.352,0.056,0.16,0.0886232526704263,0.0542139516022557
"55",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.02,0.04,0,0.12,0.88,0.378,0.493,0.089,0.218,0.355,0.435,0.073,0.158,0.107227903204512,0.0728186021363411
"56",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.03,0.04,0,0.12,0.88,0.519,0.579,0.138,0.216,0.473,0.519,0.101,0.156,0.126232553738597,0.0918232526704261
"57",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.04,0.04,0,0.12,0.88,0.655,0.66,0.206,0.214,0.592,0.602,0.14,0.154,0.145637204272682,0.111227903204511
"58",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.05,0.04,0,0.12,0.88,0.772,0.734,0.29,0.211,0.701,0.679,0.19,0.152,0.165441854806767,0.131032553738597
"59",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.06,0.04,0,0.12,0.88,0.861,0.798,0.386,0.209,0.793,0.749,0.248,0.15,0.185646505340852,0.151237204272682
"60",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.07,0.04,0,0.12,0.88,0.922,0.851,0.488,0.207,0.865,0.809,0.314,0.149,0.206251155874938,0.171841854806767
"61",2451,4569,0.860232526704263,0.282842712474619,0.424264068711929,0.08,0.04,0,0.12,0.88,0.96,0.894,0.588,0.205,0.916,0.858,0.384,0.147,0.227255806409023,0.192846505340853
