"","nmz","ndz","a","c","e","g","b","x","PGS","A","p1","p2","p3","p4","p5","p6","p7","p8","Smz","Sdz"
"32",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.1,0,0.02,0.98,0.239,0.392,0.057,0.228,0.213,0.304,0.053,0.14,0.166589327688082,0.103343774484715
"33",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.1,0,0.02,0.98,0.323,0.442,0.075,0.219,0.283,0.349,0.061,0.131,0.198287548969429,0.135041995766061
"34",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.1,0,0.02,0.98,0.43,0.503,0.108,0.222,0.344,0.399,0.074,0.133,0.231585770250776,0.168340217047409
"35",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.1,0,0.02,0.98,0.552,0.592,0.15,0.223,0.452,0.481,0.093,0.132,0.266483991532123,0.203238438328756
"36",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.02,0.98,0.652,0.643,0.201,0.216,0.51,0.523,0.113,0.129,0.30298221281347,0.239736659610103
"37",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.05,0.95,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0
"38",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0,0,0.05,0.95,0.079,0.059,0.07,0.05,0.067,0.058,0.058,0.05,0.0260982212813471,0.0260982212813471
"39",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0,0,0.05,0.95,0.164,0.084,0.127,0.05,0.115,0.083,0.081,0.05,0.0537964425626939,0.0537964425626939
"40",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0,0,0.05,0.95,0.307,0.126,0.229,0.05,0.198,0.123,0.125,0.05,0.0830946638440412,0.0830946638440412
"41",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0,0,0.05,0.95,0.486,0.186,0.348,0.05,0.325,0.183,0.175,0.05,0.113992885125388,0.113992885125388
