"","nmz","ndz","a","c","e","g","b","x","PGS","A","e1","e2","e3","e4","e5","e6","e7","e8","Smz","Sdz"
"11",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.02,0,0.02,0.98,0.091,0.066,0.08,0.02,0.096,0.074,0.08,0.02,0.142891106406735,0.130241995766061
"12",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.02,0,0.02,0.98,0.111,0.078,0.1,0.02,0.116,0.087,0.1,0.02,0.176189327688082,0.163540217047409
"13",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.04,0,0.02,0.98,0.022,0.04,0,0.04,0.031,0.04,0,0.04,0.052196442562694,0.0268982212813471
"14",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.04,0,0.02,0.98,0.042,0.052,0.02,0.04,0.051,0.053,0.02,0.04,0.079894663844041,0.0545964425626941
"15",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.04,0,0.02,0.98,0.062,0.063,0.04,0.04,0.071,0.067,0.04,0.04,0.109192885125388,0.083894663844041
"16",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.04,0,0.02,0.98,0.083,0.075,0.06,0.04,0.092,0.08,0.06,0.04,0.140091106406735,0.114792885125388
"17",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.04,0,0.02,0.98,0.103,0.086,0.08,0.04,0.112,0.094,0.08,0.04,0.172589327688082,0.147291106406735
"18",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.04,0,0.02,0.98,0.123,0.098,0.1,0.04,0.132,0.107,0.1,0.04,0.206687548969429,0.181389327688082
"19",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.06,0,0.02,0.98,0.033,0.06,0,0.06,0.047,0.06,0,0.06,0.079494663844041,0.0415473319220205
"20",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.06,0,0.02,0.98,0.054,0.072,0.02,0.06,0.067,0.073,0.02,0.06,0.107992885125388,0.0700455532033675
"21",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.06,0,0.02,0.98,0.074,0.083,0.04,0.06,0.088,0.087,0.04,0.06,0.138091106406735,0.100143774484715
"22",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.06,0,0.02,0.98,0.095,0.095,0.06,0.06,0.108,0.1,0.06,0.06,0.169789327688082,0.131841995766062
"23",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.06,0,0.02,0.98,0.115,0.106,0.08,0.06,0.128,0.113,0.08,0.06,0.203087548969429,0.165140217047409
"24",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.06,0,0.02,0.98,0.136,0.117,0.1,0.06,0.149,0.127,0.1,0.06,0.237985770250776,0.200038438328756
"25",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.08,0,0.02,0.98,0.045,0.08,0,0.08,0.063,0.08,0,0.08,0.107592885125388,0.0569964425626939
"26",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.08,0,0.02,0.98,0.066,0.091,0.02,0.08,0.083,0.093,0.02,0.08,0.136891106406735,0.0862946638440412
"27",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.08,0,0.02,0.98,0.087,0.103,0.04,0.08,0.104,0.107,0.04,0.08,0.167789327688082,0.117192885125388
"28",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.08,0,0.02,0.98,0.107,0.114,0.06,0.08,0.124,0.12,0.06,0.08,0.200287548969429,0.149691106406735
"29",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.08,0,0.02,0.98,0.128,0.126,0.08,0.08,0.145,0.133,0.08,0.08,0.234385770250776,0.183789327688082
"30",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.08,0,0.02,0.98,0.149,0.137,0.1,0.08,0.165,0.147,0.1,0.08,0.270083991532123,0.219487548969429
"31",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.02,0.98,0.058,0.1,0,0.1,0.079,0.1,0,0.1,0.136491106406735,0.0732455532033676
"32",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.1,0,0.02,0.98,0.079,0.112,0.02,0.1,0.1,0.113,0.02,0.1,0.166589327688082,0.103343774484715
"33",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.1,0,0.02,0.98,0.1,0.123,0.04,0.1,0.12,0.127,0.04,0.1,0.198287548969429,0.135041995766061
"34",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.1,0,0.02,0.98,0.12,0.134,0.06,0.1,0.141,0.14,0.06,0.1,0.231585770250776,0.168340217047409
"35",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.1,0,0.02,0.98,0.141,0.146,0.08,0.1,0.162,0.153,0.08,0.1,0.266483991532123,0.203238438328756
"36",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.02,0.98,0.162,0.157,0.1,0.1,0.182,0.167,0.1,0.1,0.30298221281347,0.239736659610103
"37",4000,0.632455532033676,0.547722557505166,0,0.05,0,0,0,0,4000,0.632455532033676,0.547722557505166,0,0.05,0,0,0,0,-0.6975,-0.6975
"38",4000,0.632455532033676,0.547722557505166,0,0.05,0.02,0.02,0.02,0.02,4000,0.632455532033676,0.547722557505166,0,0.05,0.02,0.02,0.02,0.02,-0.651682195399587,-0.66263664654969
"39",4000,0.632455532033676,0.547722557505166,0,0.05,0.04,0.04,0.04,0.04,4000,0.632455532033676,0.547722557505166,0,0.05,0.04,0.04,0.04,0.04,-0.601864390799173,-0.62377329309938
"40",4000,0.632455532033676,0.547722557505166,0,0.05,0.06,0.06,0.06,0.06,4000,0.632455532033676,0.547722557505166,0,0.05,0.06,0.06,0.06,0.06,-0.54804658619876,-0.58090993964907
"41",4000,0.632455532033676,0.547722557505166,0,0.05,0.08,0.08,0.08,0.08,4000,0.632455532033676,0.547722557505166,0,0.05,0.08,0.08,0.08,0.08,-0.490228781598347,-0.53404658619876
"42",4000,0.632455532033676,0.547722557505166,0,0.05,0.1,0.1,0.1,0.1,4000,0.632455532033676,0.547722557505166,0,0.05,0.1,0.1,0.1,0.1,-0.428410976997934,-0.48318323274845
"43",4000,0.632455532033676,0.547722557505166,0.02,0.05,0.011,0,0.015,0,4000,0.632455532033676,0.547722557505166,0.02,0.05,0.011,0,0.015,0,-0.684808103734886,-0.684808103734886
"44",4000,0.632455532033676,0.547722557505166,0.02,0.05,0.031,0.02,0.035,0.02,4000,0.632455532033676,0.547722557505166,0.02,0.05,0.031,0.02,0.035,0.02,-0.637670299134473,-0.648624750284576
"45",4000,0.632455532033676,0.547722557505166,0.02,0.05,0.051,0.04,0.055,0.04,4000,0.632455532033676,0.547722557505166,0.02,0.05,0.051,0.04,0.055,0.04,-0.58653249453406,-0.608441396834266
"46",4000,0.632455532033676,0.547722557505166,0.02,0.05,0.071,0.06,0.076,0.06,4000,0.632455532033676,0.547722557505166,0.02,0.05,0.071,0.06,0.076,0.06,-0.531394689933647,-0.564258043383957
"47",4000,0.632455532033676,0.547722557505166,0.02,0.05,0.091,0.08,0.096,0.08,4000,0.632455532033676,0.547722557505166,0.02,0.05,0.091,0.08,0.096,0.08,-0.472256885333233,-0.516074689933647
