A,C,E,g,b,PGS,p1,p2,p3,p4,p13,p14,p15,p16,Smz,Sdz
0.5,0.2,0.3,0,0,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0%,0%
0.5,0.2,0.3,0,0.05,0.1,0.28,0.05,0.15,0.38,0.17,0.05,0.17,0.3,7%,4%
0.5,0.2,0.3,0,0.1,0.1,0.79,0.05,0.47,0.92,0.51,0.05,0.53,0.81,15%,8%
0.5,0.2,0.3,0.05,0,0.1,0.05,0.3,0.41,0.16,0.05,0.16,0.26,0.15,8%,8%
0.5,0.2,0.3,0.05,0.05,0.1,0.27,0.29,0.74,0.73,0.16,0.15,0.63,0.64,15%,12%
0.5,0.2,0.3,0.05,0.1,0.1,0.77,0.27,0.94,0.99,0.48,0.14,0.91,0.96,24%,17%
0.5,0.2,0.3,0.1,0,0.1,0.05,0.79,0.91,0.46,0.05,0.43,0.72,0.44,16%,16%
0.5,0.2,0.3,0.1,0.05,0.1,0.26,0.76,0.99,0.93,0.16,0.41,0.94,0.88,24%,21%
0.5,0.2,0.3,0.1,0.1,0.1,0.75,0.73,1,1,0.45,0.39,0.99,0.99,33%,26%
0.4,0.3,0.3,0,0,0.15,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0%,0%
0.4,0.3,0.3,0,0.05,0.15,0.42,0.05,0.22,0.56,0.24,0.05,0.25,0.43,7%,3%
0.4,0.3,0.3,0,0.1,0.15,0.94,0.05,0.68,0.99,0.69,0.05,0.73,0.94,14%,7%
0.4,0.3,0.3,0.05,0,0.15,0.05,0.43,0.57,0.22,0.05,0.21,0.37,0.22,7%,7%
0.4,0.3,0.3,0.05,0.05,0.15,0.4,0.41,0.91,0.91,0.23,0.2,0.82,0.83,14%,11%
0.4,0.3,0.3,0.05,0.1,0.15,0.92,0.39,0.99,1,0.66,0.19,0.98,1,21%,15%
0.4,0.3,0.3,0.1,0,0.15,0.05,0.93,0.99,0.65,0.05,0.59,0.89,0.63,15%,15%
0.4,0.3,0.3,0.1,0.05,0.15,0.39,0.91,1,0.99,0.22,0.57,0.99,0.98,22%,19%
0.4,0.3,0.3,0.1,0.1,0.15,0.91,0.9,1,1,0.63,0.54,1,1,30%,24%
0.5,0.2,0.3,0,0,0.15,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0%,0%
0.5,0.2,0.3,0,0.05,0.15,0.41,0.05,0.2,0.54,0.24,0.05,0.24,0.42,7%,4%
0.5,0.2,0.3,0,0.1,0.15,0.93,0.05,0.64,0.98,0.69,0.05,0.71,0.94,15%,8%
0.5,0.2,0.3,0.05,0,0.15,0.05,0.44,0.57,0.21,0.05,0.22,0.38,0.21,8%,8%
0.5,0.2,0.3,0.05,0.05,0.15,0.39,0.41,0.9,0.89,0.23,0.2,0.81,0.82,15%,12%
0.5,0.2,0.3,0.05,0.1,0.15,0.92,0.39,0.99,1,0.66,0.19,0.98,1,24%,17%
0.5,0.2,0.3,0.1,0,0.15,0.05,0.93,0.98,0.63,0.05,0.6,0.89,0.62,16%,16%
0.5,0.2,0.3,0.1,0.05,0.15,0.38,0.92,1,0.99,0.22,0.58,0.99,0.98,24%,21%
0.5,0.2,0.3,0.1,0.1,0.15,0.9,0.9,1,1,0.63,0.55,1,1,33%,26%
