"","nmz","ndz","a","c","e","g","b","x","prs","A","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12","p13","p14","p15","p16"
"24",4000,4000,0.707106781186548,0.547722557505166,0.547722557505166,0.05,0.1,0,0.02,0.98,0.209,0.087,0.332,0.446,0.209,0.087,0.332,0.446,0.209,0.087,0.332,0.446,0.126,0.065,0.287,0.348
"25",4000,4000,0.707106781186548,0.547722557505166,0.547722557505166,0.1,0,0,0.02,0.98,0.05,0.209,0.286,0.125,0.05,0.209,0.286,0.125,0.05,0.209,0.286,0.125,0.05,0.115,0.188,0.12
"26",4000,4000,0.707106781186548,0.547722557505166,0.547722557505166,0.1,0.05,0,0.02,0.98,0.087,0.198,0.425,0.32,0.087,0.198,0.425,0.32,0.087,0.198,0.425,0.32,0.068,0.111,0.313,0.27
"27",4000,4000,0.707106781186548,0.547722557505166,0.547722557505166,0.1,0.1,0,0.02,0.98,0.201,0.189,0.584,0.593,0.201,0.189,0.584,0.593,0.201,0.189,0.584,0.593,0.12,0.107,0.468,0.48
"28",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0,0,0.02,0.98,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
"29",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0.05,0,0.02,0.98,0.093,0.05,0.069,0.112,0.093,0.05,0.069,0.113,0.093,0.05,0.069,0.112,0.073,0.05,0.073,0.096
"30",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0.1,0,0.02,0.98,0.227,0.05,0.132,0.311,0.227,0.05,0.132,0.311,0.227,0.05,0.132,0.311,0.139,0.05,0.146,0.238
"31",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0,0,0.02,0.98,0.05,0.097,0.117,0.07,0.05,0.097,0.117,0.07,0.05,0.097,0.117,0.07,0.05,0.07,0.089,0.069
"32",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0.05,0,0.02,0.98,0.091,0.093,0.207,0.204,0.091,0.093,0.207,0.204,0.091,0.093,0.207,0.204,0.071,0.068,0.171,0.174
"33",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0.1,0,0.02,0.98,0.218,0.09,0.342,0.459,0.218,0.09,0.342,0.459,0.218,0.09,0.342,0.459,0.132,0.067,0.301,0.366
"34",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0,0,0.02,0.98,0.05,0.226,0.306,0.128,0.05,0.226,0.306,0.128,0.05,0.226,0.306,0.128,0.05,0.122,0.2,0.125
"35",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0.05,0,0.02,0.98,0.089,0.213,0.445,0.33,0.089,0.213,0.445,0.33,0.089,0.213,0.445,0.33,0.069,0.117,0.331,0.283
"36",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0.1,0,0.02,0.98,0.209,0.202,0.603,0.608,0.209,0.202,0.603,0.608,0.209,0.202,0.603,0.608,0.126,0.113,0.49,0.502
