"","nmz","ndz","a","c","e","g","b","x","PGS","A","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12","p13","p14","p15","p16","Smz","Sdz"
"22",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.05,0.95,0.05,0.171,0.226,0.103,0.05,0.171,0.226,0.103,0.05,0.171,0.226,0.103,0.05,0.099,0.152,0.101,"6.82%","6.82%"
"23",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.05,0,0.05,0.95,0.162,0.163,0.458,0.457,0.162,0.163,0.458,0.457,0.162,0.163,0.458,0.457,0.104,0.096,0.368,0.376,"13.90%","10.74%"
"24",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.1,0,0.05,0.95,0.482,0.155,0.72,0.861,0.482,0.155,0.72,0.861,0.482,0.155,0.72,0.861,0.266,0.093,0.644,0.744,"21.47%","15.15%"
"25",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.05,0.95,0.05,0.485,0.646,0.263,0.05,0.485,0.646,0.263,0.05,0.485,0.646,0.263,0.05,0.235,0.43,0.251,"14.65%","14.65%"
"26",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.05,0,0.05,0.95,0.156,0.46,0.842,0.702,0.156,0.46,0.842,0.702,0.156,0.46,0.842,0.702,0.101,0.224,0.69,0.611,"22.22%","19.06%"
"27",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.05,0.95,0.464,0.437,0.952,0.956,0.464,0.437,0.952,0.956,0.464,0.437,0.952,0.956,0.251,0.213,0.88,0.89,"30.30%","23.97%"
"28",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0,0,0.05,0.95,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,"0.00%","0.00%"
"29",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0.05,0,0.05,0.95,0.162,0.05,0.097,0.212,0.162,0.05,0.098,0.212,0.162,0.05,0.098,0.212,0.108,0.05,0.108,0.169,"7.32%","3.79%"
"30",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0.1,0,0.05,0.95,0.486,0.05,0.262,0.645,0.486,0.05,0.261,0.645,0.486,0.05,0.261,0.645,0.281,0.05,0.296,0.509,"15.14%","8.07%"
"31",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0,0,0.05,0.95,0.05,0.172,0.225,0.1,0.05,0.172,0.225,0.1,0.05,0.172,0.225,0.1,0.05,0.1,0.151,0.099,"7.57%","7.57%"
