"","nmz","ndz","a","c","e","g","b","x","PGS","A","e1","e2","e3","e4","e5","e6","e7","e8","e9","e10","e11","e12","e13","e14","e15","e16"
"26",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.05,0,0.05,0.95,0.13,0.107,0.1,0.05,0.13,0.107,0.1,0.05,0.129,0.107,0.1,0.05,0.14,0.117,0.1,0.05
"27",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.05,0.95,0.162,0.157,0.1,0.1,0.162,0.157,0.1,0.1,0.162,0.157,0.1,0.1,0.182,0.167,0.1,0.1
"28",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0,0,0.05,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0.05,0,0.05,0.95,0.027,0.05,0,0.05,0.026,0.05,0,0.05,0.026,0.05,0,0.05,0.038,0.05,0,0.05
"30",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0.1,0,0.05,0.95,0.056,0.1,0,0.1,0.056,0.1,0,0.1,0.056,0.1,0,0.1,0.077,0.1,0,0.1
"31",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0,0,0.05,0.95,0.05,0.029,0.05,0,0.05,0.029,0.05,0,0.05,0.029,0.05,0,0.05,0.033,0.05,0
"32",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0.05,0,0.05,0.95,0.077,0.079,0.05,0.05,0.077,0.079,0.05,0.05,0.077,0.079,0.05,0.05,0.088,0.083,0.05,0.05
"33",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0.1,0,0.05,0.95,0.108,0.129,0.05,0.1,0.108,0.129,0.05,0.1,0.108,0.129,0.05,0.1,0.129,0.133,0.05,0.1
"34",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0,0,0.05,0.95,0.1,0.058,0.1,0,0.1,0.058,0.1,0,0.1,0.058,0.1,0,0.1,0.067,0.1,0
"35",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0.05,0,0.05,0.95,0.128,0.108,0.1,0.05,0.128,0.108,0.1,0.05,0.128,0.108,0.1,0.05,0.139,0.117,0.1,0.05
"36",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0.1,0,0.05,0.95,0.16,0.157,0.1,0.1,0.16,0.157,0.1,0.1,0.16,0.157,0.1,0.1,0.181,0.167,0.1,0.1
"37",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.05,0,0.1,0.9,0.027,0.05,0,0.05,0.028,0.05,0,0.05,0.027,0.05,0,0.05,0.039,0.05,0,0.05
"39",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.1,0.9,0.058,0.1,0,0.1,0.058,0.1,0,0.1,0.058,0.1,0,0.1,0.079,0.1,0,0.1
"40",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.1,0.9,0.05,0.029,0.05,0,0.05,0.029,0.05,0,0.05,0.029,0.05,0,0.05,0.033,0.05,0
"41",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.05,0,0.1,0.9,0.078,0.079,0.05,0.05,0.078,0.079,0.05,0.05,0.078,0.079,0.05,0.05,0.089,0.083,0.05,0.05
"42",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.1,0,0.1,0.9,0.11,0.129,0.05,0.1,0.11,0.129,0.05,0.1,0.11,0.129,0.05,0.1,0.131,0.133,0.05,0.1
"43",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.1,0.9,0.1,0.058,0.1,0,0.1,0.058,0.1,0,0.1,0.058,0.1,0,0.1,0.067,0.1,0
"44",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.05,0,0.1,0.9,0.129,0.107,0.1,0.05,0.129,0.107,0.1,0.05,0.13,0.107,0.1,0.05,0.14,0.117,0.1,0.05
"45",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.1,0.9,0.162,0.157,0.1,0.1,0.162,0.157,0.1,0.1,0.162,0.157,0.1,0.1,0.182,0.167,0.1,0.1
"46",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0.05,0,0.1,0.9,0.026,0.05,0,0.05,0.026,0.05,0,0.05,0.026,0.05,0,0.05,0.037,0.05,0,0.05
"48",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0.1,0,0.1,0.9,0.055,0.1,0,0.1,0.055,0.1,0,0.1,0.055,0.1,0,0.1,0.077,0.1,0,0.1
"49",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0,0,0.1,0.9,0.05,0.029,0.05,0,0.05,0.029,0.05,0,0.05,0.029,0.05,0,0.05,0.033,0.05,0
"50",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0.05,0,0.1,0.9,0.077,0.079,0.05,0.05,0.077,0.079,0.05,0.05,0.077,0.079,0.05,0.05,0.088,0.083,0.05,0.05
"51",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0.1,0,0.1,0.9,0.107,0.129,0.05,0.1,0.107,0.129,0.05,0.1,0.107,0.129,0.05,0.1,0.129,0.133,0.05,0.1
"52",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0,0,0.1,0.9,0.1,0.058,0.1,0,0.1,0.058,0.1,0,0.1,0.058,0.1,0,0.1,0.067,0.1,0
"53",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0.05,0,0.1,0.9,0.129,0.108,0.1,0.05,0.128,0.108,0.1,0.05,0.128,0.108,0.1,0.05,0.139,0.117,0.1,0.05
"54",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0.1,0,0.1,0.9,0.16,0.158,0.1,0.1,0.16,0.158,0.1,0.1,0.16,0.157,0.1,0.1,0.18,0.167,0.1,0.1
"55",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.15,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.05,0,0.15,0.85,0.027,0.05,0,0.05,0.028,0.05,0,0.05,0.027,0.05,0,0.05,0.039,0.05,0,0.05
"57",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.15,0.85,0.057,0.1,0,0.1,0.057,0.1,0,0.1,0.057,0.1,0,0.1,0.079,0.1,0,0.1
"58",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.15,0.85,0.05,0.029,0.05,0,0.05,0.029,0.05,0,0.05,0.029,0.05,0,0.05,0.033,0.05,0
"59",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.05,0,0.15,0.85,0.078,0.079,0.05,0.05,0.078,0.079,0.05,0.05,0.078,0.079,0.05,0.05,0.089,0.083,0.05,0.05
"60",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.1,0,0.15,0.85,0.109,0.129,0.05,0.1,0.109,0.129,0.05,0.1,0.109,0.129,0.05,0.1,0.13,0.133,0.05,0.1
"61",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.15,0.85,0.1,0.058,0.1,0,0.1,0.058,0.1,0,0.1,0.058,0.1,0,0.1,0.067,0.1,0
"62",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.05,0,0.15,0.85,0.129,0.107,0.1,0.05,0.129,0.107,0.1,0.05,0.129,0.107,0.1,0.05,0.14,0.117,0.1,0.05
"63",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.15,0.85,0.161,0.157,0.1,0.1,0.161,0.157,0.1,0.1,0.161,0.157,0.1,0.1,0.182,0.167,0.1,0.1
"64",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0,0,0.15,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0.05,0,0.15,0.85,0.026,0.05,0,0.05,0.026,0.05,0,0.05,0.026,0.05,0,0.05,0.037,0.05,0,0.05
"66",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0.1,0,0.15,0.85,0.055,0.1,0,0.1,0.055,0.1,0,0.1,0.055,0.1,0,0.1,0.077,0.1,0,0.1
"67",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0,0,0.15,0.85,0.05,0.029,0.05,0,0.05,0.029,0.05,0,0.05,0.029,0.05,0,0.05,0.033,0.05,0
"68",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0.05,0,0.15,0.85,0.077,0.079,0.05,0.05,0.077,0.079,0.05,0.05,0.077,0.079,0.05,0.05,0.088,0.083,0.05,0.05
"69",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0.1,0,0.15,0.85,0.107,0.129,0.05,0.1,0.107,0.129,0.05,0.1,0.107,0.129,0.05,0.1,0.129,0.133,0.05,0.1
"70",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0,0,0.15,0.85,0.1,0.058,0.1,0,0.1,0.058,0.1,0,0.1,0.058,0.1,0,0.1,0.067,0.1,0
"71",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0.05,0,0.15,0.85,0.128,0.108,0.1,0.05,0.128,0.108,0.1,0.05,0.128,0.108,0.1,0.05,0.139,0.117,0.1,0.05
"72",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0.1,0,0.15,0.85,0.159,0.158,0.1,0.1,0.159,0.157,0.1,0.1,0.159,0.157,0.1,0.1,0.18,0.167,0.1,0.1
