"","nmz","ndz","a","c","e","g","b","x","PGS","A","e1","e2","e3","e4","e5","e6","e7","e8","Smz","Sdz"
"29",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.08,0,0.02,0.98,0.2,0.251,0.16,0.16,0.24,0.267,0.16,0.16,0.234385770250776,0.183789327688082
"30",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.08,0,0.02,0.98,0.24,0.274,0.2,0.16,0.28,0.293,0.2,0.16,0.270083991532123,0.219487548969429
"31",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.02,0.98,0.05,0.2,0,0.2,0.1,0.2,0,0.2,0.136491106406735,0.0732455532033676
"32",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.1,0,0.02,0.98,0.09,0.223,0.04,0.2,0.14,0.227,0.04,0.2,0.166589327688082,0.103343774484715
"33",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.1,0,0.02,0.98,0.13,0.246,0.08,0.2,0.18,0.253,0.08,0.2,0.198287548969429,0.135041995766061
"34",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.1,0,0.02,0.98,0.17,0.269,0.12,0.2,0.22,0.28,0.12,0.2,0.231585770250776,0.168340217047409
"35",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.1,0,0.02,0.98,0.21,0.291,0.16,0.2,0.26,0.307,0.16,0.2,0.266483991532123,0.203238438328756
"36",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.02,0.98,0.25,0.314,0.2,0.2,0.3,0.333,0.2,0.2,0.30298221281347,0.239736659610103
"37",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.05,0.95,0,0,0,0,0,0,0,0,-1.11022302462516e-16,-1.11022302462516e-16
"38",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0,0,0.05,0.95,0.04,0.023,0.04,0,0.04,0.027,0.04,0,0.026098221281347,0.026098221281347
"39",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0,0,0.05,0.95,0.08,0.046,0.08,0,0.08,0.053,0.08,0,0.0537964425626938,0.0537964425626938
