"","nmz","ndz","a","c","e","g","b","x","PGS","A","p1","p2","p3","p4","p5","p6","p7","p8","p9","Smz","Sdz"
"31",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.02,0.98,0.134,0.18,0.13,0.121,0.05,0.274,0.133,0.222,0.05,0.146491106406735,0.146491106406735
"32",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.02,0,0.02,0.98,0.15,0.198,0.175,0.115,0.053,0.282,0.196,0.212,0.056,0.176189327688082,0.163540217047409
"33",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.04,0,0.02,0.98,0.168,0.234,0.26,0.117,0.063,0.306,0.299,0.213,0.076,0.206687548969429,0.181389327688082
"34",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.06,0,0.02,0.98,0.187,0.252,0.334,0.112,0.077,0.324,0.398,0.209,0.108,0.237985770250776,0.200038438328756
"35",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.08,0,0.02,0.98,0.207,0.294,0.431,0.114,0.1,0.354,0.522,0.212,0.157,0.270083991532123,0.219487548969429
"36",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.02,0.98,0.228,0.324,0.509,0.114,0.128,0.366,0.627,0.206,0.217,0.30298221281347,0.239736659610103
"37",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.05,0.95,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,-1.11022302462516e-16,-1.11022302462516e-16
"38",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.02,0,0.05,0.95,0.052,0.054,0.068,0.05,0.059,0.052,0.075,0.05,0.068,0.0256982212813468,0.0130491106406734
"39",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.04,0,0.05,0.95,0.059,0.065,0.127,0.05,0.087,0.056,0.161,0.05,0.124,0.052196442562694,0.0268982212813471
"40",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.06,0,0.05,0.95,0.07,0.082,0.232,0.05,0.135,0.063,0.308,0.05,0.223,0.079494663844041,0.0415473319220205
"41",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.08,0,0.05,0.95,0.086,0.106,0.36,0.05,0.197,0.074,0.478,0.05,0.346,0.107592885125388,0.0569964425626939
"42",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.05,0.95,0.106,0.138,0.513,0.05,0.279,0.085,0.659,0.05,0.488,0.136491106406735,0.0732455532033676
"43",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0,0,0.05,0.95,0.059,0.064,0.058,0.058,0.05,0.075,0.058,0.07,0.05,0.026098221281347,0.026098221281347
"44",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.02,0,0.05,0.95,0.07,0.083,0.1,0.058,0.059,0.088,0.112,0.069,0.067,0.0525964425626939,0.0399473319220205
"45",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.04,0,0.05,0.95,0.086,0.106,0.184,0.058,0.086,0.103,0.226,0.068,0.122,0.079894663844041,0.0545964425626941
"46",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.06,0,0.05,0.95,0.106,0.142,0.317,0.058,0.133,0.123,0.398,0.068,0.217,0.107992885125388,0.0700455532033675
"47",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.08,0,0.05,0.95,0.13,0.18,0.459,0.057,0.195,0.143,0.581,0.067,0.335,0.136891106406735,0.0862946638440412
"48",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.1,0,0.05,0.95,0.159,0.22,0.611,0.057,0.278,0.163,0.751,0.067,0.483,0.166589327688082,0.103343774484715
"49",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0,0,0.05,0.95,0.086,0.108,0.083,0.081,0.05,0.15,0.084,0.127,0.05,0.0537964425626938,0.0537964425626938
"50",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.02,0,0.05,0.95,0.106,0.139,0.154,0.082,0.059,0.174,0.175,0.126,0.068,0.0810946638440408,0.0684455532033674
"51",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.04,0,0.05,0.95,0.131,0.18,0.253,0.08,0.083,0.201,0.304,0.123,0.117,0.109192885125388,0.083894663844041
"52",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.06,0,0.05,0.95,0.159,0.23,0.42,0.08,0.131,0.236,0.513,0.124,0.218,0.138091106406735,0.100143774484715
"53",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.08,0,0.05,0.95,0.191,0.257,0.549,0.077,0.189,0.243,0.662,0.115,0.33,0.167789327688082,0.117192885125388
"54",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.1,0,0.05,0.95,0.227,0.325,0.699,0.078,0.266,0.29,0.837,0.119,0.497,0.198287548969429,0.135041995766061
"55",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0,0,0.05,0.95,0.131,0.176,0.123,0.118,0.05,0.27,0.126,0.22,0.05,0.0830946638440411,0.0830946638440411
