A,C,E,g,b,PGS,p1,p2,p3,p4,p5,p6,p7,p8,p9,Smz,Sdz
0.4,0.3,0.3,0.1,0,0.1,0.48,0.67,0.45,0.43,0.05,0.88,0.47,0.79,0.05,15%,15%
0.4,0.3,0.3,0.1,0.05,0.1,0.65,0.83,0.9,0.4,0.15,0.93,0.95,0.76,0.27,22%,19%
0.4,0.3,0.3,0.1,0.1,0.1,0.79,0.92,0.99,0.38,0.45,0.95,1,0.72,0.76,30%,24%
0.5,0.2,0.3,0,0,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0%,0%
0.5,0.2,0.3,0,0.05,0.1,0.08,0.1,0.3,0.05,0.17,0.07,0.39,0.05,0.28,7%,4%
0.5,0.2,0.3,0,0.1,0.1,0.17,0.22,0.79,0.05,0.5,0.12,0.91,0.05,0.79,15%,8%
0.5,0.2,0.3,0.05,0,0.1,0.17,0.25,0.15,0.16,0.05,0.37,0.15,0.3,0.05,8%,8%
0.5,0.2,0.3,0.05,0.05,0.1,0.31,0.46,0.63,0.15,0.16,0.5,0.73,0.28,0.27,15%,12%
0.5,0.2,0.3,0.05,0.1,0.1,0.48,0.65,0.95,0.14,0.47,0.61,0.98,0.26,0.74,24%,17%
0.5,0.2,0.3,0.1,0,0.1,0.48,0.66,0.45,0.41,0.05,0.88,0.46,0.78,0.05,16%,16%
0.5,0.2,0.3,0.1,0.05,0.1,0.65,0.82,0.88,0.4,0.15,0.92,0.93,0.76,0.26,24%,21%
0.5,0.2,0.3,0.1,0.1,0.1,0.79,0.92,1,0.38,0.46,0.94,1,0.7,0.75,33%,26%
0.4,0.3,0.3,0,0,0.15,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0%,0%
0.4,0.3,0.3,0,0.05,0.15,0.1,0.12,0.43,0.05,0.24,0.08,0.55,0.05,0.41,7%,3%
0.4,0.3,0.3,0,0.1,0.15,0.23,0.32,0.95,0.05,0.71,0.16,0.99,0.05,0.93,14%,7%
