"","nmz","ndz","a","c","e","g","b","x","PGS","A","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12","p13","p14","p15","p16"
"27",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.05,0.95,0.464,0.437,0.952,0.956,0.464,0.437,0.952,0.956,0.464,0.437,0.952,0.956,0.251,0.213,0.88,0.89
"28",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0,0,0.05,0.95,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
"29",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0.05,0,0.05,0.95,0.162,0.05,0.097,0.212,0.162,0.05,0.098,0.212,0.162,0.05,0.098,0.212,0.108,0.05,0.108,0.169
"30",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0.1,0,0.05,0.95,0.486,0.05,0.262,0.645,0.486,0.05,0.261,0.645,0.486,0.05,0.261,0.645,0.281,0.05,0.296,0.509
"31",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0,0,0.05,0.95,0.05,0.172,0.225,0.1,0.05,0.172,0.225,0.1,0.05,0.172,0.225,0.1,0.05,0.1,0.151,0.099
"32",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0.05,0,0.05,0.95,0.157,0.163,0.442,0.437,0.157,0.163,0.442,0.437,0.157,0.163,0.442,0.437,0.104,0.097,0.359,0.366
"33",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0.1,0,0.05,0.95,0.467,0.155,0.695,0.841,0.467,0.155,0.695,0.841,0.467,0.155,0.695,0.841,0.264,0.094,0.629,0.731
"34",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0,0,0.05,0.95,0.05,0.485,0.639,0.251,0.05,0.485,0.639,0.251,0.05,0.485,0.639,0.251,0.05,0.238,0.427,0.244
"35",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0.05,0,0.05,0.95,0.152,0.459,0.828,0.677,0.152,0.459,0.828,0.677,0.152,0.459,0.828,0.677,0.1,0.225,0.679,0.597
"36",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0.1,0,0.05,0.95,0.448,0.433,0.943,0.945,0.448,0.433,0.943,0.945,0.448,0.433,0.943,0.945,0.248,0.213,0.87,0.879
"37",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.1,0.9,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
"38",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.05,0,0.1,0.9,0.292,0.05,0.16,0.399,0.292,0.05,0.16,0.399,0.292,0.05,0.16,0.399,0.171,0.05,0.179,0.302
"39",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.1,0.9,0.8,0.05,0.505,0.929,0.8,0.05,0.505,0.929,0.8,0.05,0.505,0.929,0.506,0.05,0.55,0.819
"40",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.1,0.9,0.05,0.3,0.408,0.161,0.05,0.3,0.408,0.161,0.05,0.3,0.408,0.161,0.05,0.152,0.261,0.156
"41",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.05,0,0.1,0.9,0.281,0.285,0.756,0.754,0.281,0.285,0.756,0.754,0.281,0.285,0.756,0.754,0.163,0.146,0.64,0.651
"42",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.1,0,0.1,0.9,0.783,0.27,0.953,0.992,0.783,0.27,0.953,0.992,0.783,0.27,0.953,0.992,0.48,0.14,0.915,0.962
"43",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.1,0.9,0.05,0.787,0.917,0.474,0.05,0.787,0.917,0.474,0.05,0.787,0.917,0.474,0.05,0.424,0.724,0.453
"44",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.05,0,0.1,0.9,0.271,0.761,0.989,0.945,0.271,0.761,0.989,0.945,0.271,0.761,0.989,0.945,0.156,0.404,0.94,0.894
"45",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.1,0.9,0.763,0.734,0.999,0.999,0.763,0.734,0.999,0.999,0.763,0.734,0.999,0.999,0.454,0.384,0.994,0.995
"46",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0,0,0.1,0.9,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
"47",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0.05,0,0.1,0.9,0.284,0.05,0.149,0.382,0.284,0.05,0.149,0.382,0.284,0.05,0.149,0.382,0.172,0.05,0.172,0.296
"48",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0.1,0,0.1,0.9,0.787,0.05,0.469,0.916,0.787,0.05,0.469,0.916,0.787,0.05,0.469,0.916,0.507,0.05,0.531,0.81
"49",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0,0,0.1,0.9,0.05,0.304,0.407,0.155,0.05,0.304,0.407,0.155,0.05,0.304,0.407,0.155,0.05,0.156,0.262,0.153
"50",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0.05,0,0.1,0.9,0.273,0.287,0.739,0.732,0.273,0.287,0.739,0.732,0.273,0.287,0.739,0.732,0.163,0.148,0.63,0.64
"51",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0.1,0,0.1,0.9,0.768,0.271,0.942,0.989,0.768,0.271,0.942,0.989,0.768,0.271,0.942,0.989,0.479,0.142,0.906,0.958
"52",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0,0,0.1,0.9,0.05,0.79,0.914,0.455,0.05,0.79,0.914,0.455,0.05,0.79,0.914,0.455,0.05,0.432,0.722,0.442
"53",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0.05,0,0.1,0.9,0.263,0.761,0.986,0.934,0.263,0.761,0.986,0.934,0.263,0.761,0.986,0.934,0.155,0.409,0.936,0.885
"54",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0.1,0,0.1,0.9,0.747,0.732,0.999,0.999,0.747,0.732,0.999,0.999,0.747,0.732,0.999,0.999,0.451,0.387,0.993,0.994
"55",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.15,0.85,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
"56",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.05,0,0.15,0.85,0.416,0.05,0.219,0.559,0.416,0.05,0.219,0.559,0.416,0.05,0.219,0.559,0.238,0.05,0.249,0.43
"57",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.15,0.85,0.935,0.05,0.682,0.989,0.935,0.05,0.682,0.989,0.935,0.05,0.682,0.989,0.687,0.05,0.732,0.945
"58",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.15,0.85,0.05,0.429,0.572,0.222,0.05,0.429,0.572,0.222,0.05,0.429,0.572,0.222,0.05,0.208,0.373,0.215
"59",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.05,0,0.15,0.85,0.402,0.408,0.908,0.906,0.402,0.408,0.908,0.906,0.402,0.408,0.908,0.906,0.226,0.199,0.819,0.829
"60",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.1,0,0.15,0.85,0.925,0.387,0.994,1,0.925,0.387,0.994,1,0.925,0.387,0.994,1,0.659,0.19,0.985,0.996
"61",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.15,0.85,0.05,0.928,0.986,0.651,0.05,0.928,0.986,0.651,0.05,0.928,0.986,0.651,0.05,0.593,0.886,0.626
"62",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.05,0,0.15,0.85,0.387,0.913,1,0.993,0.387,0.913,1,0.993,0.387,0.913,1,0.993,0.215,0.568,0.992,0.978
"63",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.15,0.85,0.913,0.895,1,1,0.913,0.895,1,1,0.913,0.895,1,1,0.629,0.544,1,1
"64",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0,0,0.15,0.85,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
"65",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0.05,0,0.15,0.85,0.406,0.05,0.203,0.539,0.406,0.05,0.203,0.539,0.406,0.05,0.203,0.539,0.24,0.05,0.239,0.424
"66",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0.1,0,0.15,0.85,0.928,0.05,0.643,0.985,0.928,0.05,0.643,0.985,0.928,0.05,0.643,0.985,0.69,0.05,0.713,0.941
"67",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0,0,0.15,0.85,0.05,0.437,0.573,0.213,0.05,0.437,0.573,0.214,0.05,0.437,0.573,0.214,0.05,0.215,0.375,0.211
"68",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0.05,0,0.15,0.85,0.392,0.413,0.897,0.892,0.392,0.413,0.897,0.892,0.392,0.413,0.897,0.892,0.227,0.204,0.812,0.82
"69",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0.1,0,0.15,0.85,0.917,0.39,0.992,1,0.917,0.39,0.992,1,0.917,0.39,0.992,1,0.66,0.194,0.982,0.996
"70",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0,0,0.15,0.85,0.05,0.931,0.985,0.63,0.05,0.931,0.985,0.63,0.05,0.931,0.985,0.63,0.05,0.605,0.886,0.615
"71",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0.05,0,0.15,0.85,0.377,0.915,0.999,0.99,0.377,0.915,0.999,0.99,0.377,0.915,0.999,0.99,0.215,0.577,0.991,0.975
"72",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0.1,0,0.15,0.85,0.904,0.896,1,1,0.904,0.896,1,1,0.904,0.896,1,1,0.628,0.55,1,1
