"","nmz","ndz","a","c","e","g","b","x","PGS","A","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12","p13","p14","p15","p16","Smz","Sdz"
"17",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.08,0,0.02,0.98,0.249,0.335,0.077,0.163,0.249,0.335,0.077,0.163,0.249,0.335,0.077,0.163,0.218,0.263,0.061,0.104,0.167789327688082,0.117192885125388
"18",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.1,0,0.02,0.98,0.308,0.45,0.076,0.227,0.308,0.45,0.076,0.227,0.308,0.45,0.076,0.227,0.274,0.348,0.061,0.135,0.198287548969429,0.135041995766061
"19",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0,0,0.02,0.98,0.147,0.08,0.116,0.05,0.147,0.08,0.116,0.05,0.147,0.08,0.116,0.05,0.106,0.078,0.077,0.05,0.0830946638440411,0.0830946638440411
"20",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.02,0,0.02,0.98,0.186,0.126,0.114,0.057,0.186,0.126,0.114,0.057,0.186,0.126,0.114,0.057,0.139,0.115,0.076,0.053,0.111192885125388,0.0985437744847144
"21",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.06,0,0.02,0.98,0.286,0.286,0.111,0.112,0.286,0.286,0.111,0.112,0.286,0.286,0.111,0.112,0.229,0.234,0.075,0.08,0.169789327688082,0.131841995766062
"22",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.08,0,0.02,0.98,0.346,0.395,0.109,0.161,0.346,0.395,0.109,0.161,0.346,0.395,0.109,0.161,0.285,0.314,0.074,0.103,0.200287548969429,0.149691106406735
"23",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.1,0,0.02,0.98,0.413,0.513,0.108,0.224,0.413,0.513,0.108,0.224,0.413,0.513,0.108,0.224,0.348,0.404,0.074,0.132,0.231585770250776,0.168340217047409
"24",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0,0,0.02,0.98,0.221,0.103,0.165,0.05,0.221,0.103,0.165,0.05,0.221,0.103,0.165,0.05,0.149,0.1,0.097,0.05,0.113992885125388,0.113992885125388
"25",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.02,0,0.02,0.98,0.27,0.161,0.162,0.057,0.27,0.161,0.162,0.057,0.27,0.161,0.162,0.057,0.19,0.146,0.096,0.053,0.142891106406735,0.130241995766061
"26",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.04,0,0.02,0.98,0.325,0.242,0.159,0.077,0.325,0.242,0.159,0.077,0.325,0.242,0.159,0.077,0.24,0.207,0.094,0.063,0.172589327688082,0.147291106406735
"27",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.06,0,0.02,0.98,0.386,0.343,0.156,0.11,0.386,0.343,0.156,0.11,0.386,0.343,0.156,0.11,0.297,0.282,0.093,0.079,0.203087548969429,0.165140217047409
