"","nmz","ndz","a","c","e","g","b","x","PGS","A","e1","e2","e3","e4","e5","e6","e7","e8","e9","e10","e11","e12","e13","e14","e15","e16","Smz","Sdz"
"22",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.01,0.1,0,0.1,0.9,0.068,0.106,0.01,0.1,0.068,0.106,0.01,0.1,0.068,0.106,0.01,0.1,0.089,0.107,0.01,0.1,0.151340217047409,0.088094663844041
"23",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0,0,0.1,0.9,0.02,0.012,0.02,0,0.02,0.012,0.02,0,0.02,0.012,0.02,0,0.02,0.013,0.02,0,0.026098221281347,0.026098221281347
"24",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.01,0,0.1,0.9,0.025,0.022,0.02,0.01,0.025,0.022,0.02,0.01,0.025,0.022,0.02,0.01,0.028,0.023,0.02,0.01,0.0392473319220206,0.0329227766016837
"25",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.02,0,0.1,0.9,0.031,0.032,0.02,0.02,0.031,0.032,0.02,0.02,0.031,0.032,0.02,0.02,0.035,0.033,0.02,0.02,0.0525964425626939,0.0399473319220205
"26",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.03,0,0.1,0.9,0.036,0.042,0.02,0.03,0.036,0.042,0.02,0.03,0.036,0.042,0.02,0.03,0.043,0.043,0.02,0.03,0.0661455532033677,0.0471718872423574
"27",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.04,0,0.1,0.9,0.042,0.052,0.02,0.04,0.042,0.052,0.02,0.04,0.042,0.052,0.02,0.04,0.051,0.053,0.02,0.04,0.079894663844041,0.0545964425626941
"28",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.05,0,0.1,0.9,0.048,0.062,0.02,0.05,0.048,0.062,0.02,0.05,0.048,0.062,0.02,0.05,0.059,0.063,0.02,0.05,0.0938437744847147,0.0622209978830308
"29",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.06,0,0.1,0.9,0.054,0.072,0.02,0.06,0.054,0.072,0.02,0.06,0.054,0.072,0.02,0.06,0.067,0.073,0.02,0.06,0.107992885125388,0.0700455532033675
"30",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.07,0,0.1,0.9,0.06,0.081,0.02,0.07,0.06,0.082,0.02,0.07,0.06,0.081,0.02,0.07,0.075,0.083,0.02,0.07,0.122341995766061,0.0780701085237041
"31",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.08,0,0.1,0.9,0.066,0.092,0.02,0.08,0.066,0.092,0.02,0.08,0.066,0.091,0.02,0.08,0.083,0.093,0.02,0.08,0.136891106406735,0.0862946638440412
"32",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.09,0,0.1,0.9,0.072,0.102,0.02,0.09,0.072,0.102,0.02,0.09,0.072,0.101,0.02,0.09,0.091,0.103,0.02,0.09,0.151640217047408,0.0947192191643778
"33",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.1,0,0.1,0.9,0.078,0.112,0.02,0.1,0.078,0.112,0.02,0.1,0.078,0.111,0.02,0.1,0.1,0.113,0.02,0.1,0.166589327688082,0.103343774484715
"34",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0,0,0.1,0.9,0.03,0.017,0.03,0,0.03,0.017,0.03,0,0.03,0.017,0.03,0,0.03,0.02,0.03,0,0.0397473319220203,0.0397473319220203
"35",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.01,0,0.1,0.9,0.035,0.027,0.03,0.01,0.035,0.027,0.03,0.01,0.035,0.027,0.03,0.01,0.038,0.03,0.03,0.01,0.0530964425626941,0.046771887242357
"36",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.02,0,0.1,0.9,0.041,0.037,0.03,0.02,0.041,0.037,0.03,0.02,0.041,0.037,0.03,0.02,0.045,0.04,0.03,0.02,0.0666455532033674,0.0539964425626938
