"","nmz","ndz","a","c","e","g","b","x","PGS","A","assortm","p1","p2","p3","p4","p5","p6","p7","p8","Smz","Sdz"
"28",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.1,0.9,0.3,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0
"29",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.1,0.9,0.3,0.439,0.19,0.305,0.05,0.286,0.182,0.151,0.05,0.0682455532033676,0.0682455532033676
"30",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.1,0.9,0.3,0.936,0.564,0.788,0.05,0.765,0.531,0.416,0.05,0.146491106406735,0.146491106406735
"31",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.05,0,0.1,0.9,0.3,0.18,0.408,0.05,0.282,0.2,0.316,0.05,0.164,0.0657455532033678,0.034122776601684
"32",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.05,0,0.1,0.9,0.3,0.803,0.796,0.288,0.27,0.694,0.7,0.144,0.155,0.138991106406735,0.107368329805052
"33",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.05,0,0.1,0.9,0.3,0.994,0.967,0.761,0.258,0.961,0.929,0.394,0.147,0.222236659610103,0.190613883008419
"34",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.1,0.9,0.3,0.572,0.935,0.05,0.782,0.614,0.839,0.05,0.479,0.136491106406735,0.0732455532033677
"35",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.1,0,0.1,0.9,0.3,0.973,0.995,0.272,0.759,0.945,0.974,0.138,0.45,0.214736659610103,0.151491106406735
"36",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.1,0.9,0.3,1,1,0.732,0.735,0.997,0.998,0.373,0.42,0.30298221281347,0.239736659610103
"37",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.1,0.9,0.4,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0
"38",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.1,0.9,0.4,0.447,0.199,0.305,0.05,0.292,0.189,0.15,0.05,0.0682455532033676,0.0682455532033676
"39",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.1,0.9,0.4,0.94,0.588,0.787,0.05,0.776,0.552,0.412,0.05,0.146491106406735,0.146491106406735
"40",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.05,0,0.1,0.9,0.4,0.186,0.411,0.05,0.279,0.206,0.32,0.05,0.162,0.0657455532033678,0.034122776601684
"41",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.05,0,0.1,0.9,0.4,0.815,0.806,0.288,0.266,0.708,0.713,0.143,0.152,0.138991106406735,0.107368329805052
"42",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.05,0,0.1,0.9,0.4,0.995,0.972,0.758,0.254,0.965,0.937,0.389,0.144,0.222236659610103,0.190613883008419
"43",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.1,0.9,0.4,0.591,0.937,0.05,0.776,0.631,0.844,0.05,0.471,0.136491106406735,0.0732455532033677
"44",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.1,0,0.1,0.9,0.4,0.977,0.995,0.271,0.752,0.951,0.977,0.137,0.44,0.214736659610103,0.151491106406735
"45",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.1,0.9,0.4,1,1,0.729,0.726,0.998,0.998,0.368,0.41,0.30298221281347,0.239736659610103
