"","X","nmz","ndz","a","c","e","g","b","x","PGS","A","p4","p3","p1","p2","p8","p7","p5","p6","p12","p11","p9","p10","p16","p15","p13","p14","Smz","Sdz"
"21",21,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.05,0.95,0.5,0.05,0.283,0.67,0.5,0.05,0.283,0.67,0.5,0.05,0.283,0.67,0.281,0.05,0.309,0.52,0.136491106406735,0.0732455532033676
"22",22,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.05,0.95,0.05,0.171,0.226,0.103,0.05,0.171,0.226,0.103,0.05,0.171,0.226,0.103,0.05,0.099,0.152,0.101,0.0682455532033674,0.0682455532033674
"23",23,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.05,0,0.05,0.95,0.162,0.163,0.458,0.457,0.162,0.163,0.458,0.457,0.162,0.163,0.458,0.457,0.104,0.096,0.368,0.376,0.138991106406735,0.107368329805051
"24",24,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.1,0,0.05,0.95,0.482,0.155,0.72,0.861,0.482,0.155,0.72,0.861,0.482,0.155,0.72,0.861,0.266,0.093,0.644,0.744,0.214736659610103,0.151491106406735
"25",25,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.05,0.95,0.05,0.485,0.646,0.263,0.05,0.485,0.646,0.263,0.05,0.485,0.646,0.263,0.05,0.235,0.43,0.251,0.146491106406735,0.146491106406735
"26",26,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.05,0,0.05,0.95,0.156,0.46,0.842,0.702,0.156,0.46,0.842,0.702,0.156,0.46,0.842,0.702,0.101,0.224,0.69,0.611,0.222236659610103,0.190613883008419
"27",27,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.05,0.95,0.464,0.437,0.952,0.956,0.464,0.437,0.952,0.956,0.464,0.437,0.952,0.956,0.251,0.213,0.88,0.89,0.30298221281347,0.239736659610103
"28",28,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0,0,0.05,0.95,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0
"29",29,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0.05,0,0.05,0.95,0.162,0.05,0.098,0.212,0.162,0.05,0.098,0.212,0.162,0.05,0.098,0.212,0.108,0.05,0.108,0.169,0.0732106781186548,0.0378553390593273
"30",30,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0.1,0,0.05,0.95,0.486,0.05,0.261,0.645,0.486,0.05,0.261,0.645,0.486,0.05,0.261,0.645,0.281,0.05,0.296,0.509,0.151421356237309,0.0807106781186548
"31",31,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0,0,0.05,0.95,0.05,0.172,0.225,0.1,0.05,0.172,0.225,0.1,0.05,0.172,0.225,0.1,0.05,0.1,0.151,0.099,0.0757106781186547,0.0757106781186547
"32",32,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0.05,0,0.05,0.95,0.157,0.163,0.442,0.437,0.157,0.163,0.442,0.437,0.157,0.163,0.442,0.437,0.104,0.097,0.359,0.366,0.15392135623731,0.118566017177982
"33",33,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0.1,0,0.05,0.95,0.467,0.155,0.695,0.841,0.467,0.155,0.695,0.841,0.467,0.155,0.695,0.841,0.264,0.094,0.629,0.731,0.237132034355964,0.16642135623731
"34",34,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0,0,0.05,0.95,0.05,0.485,0.639,0.251,0.05,0.485,0.639,0.251,0.05,0.485,0.639,0.251,0.05,0.238,0.427,0.244,0.16142135623731,0.16142135623731
"35",35,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0.05,0,0.05,0.95,0.152,0.459,0.828,0.677,0.152,0.459,0.828,0.677,0.152,0.459,0.828,0.677,0.1,0.225,0.679,0.597,0.244632034355964,0.209276695296637
"36",36,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0.1,0,0.05,0.95,0.448,0.433,0.943,0.945,0.448,0.433,0.943,0.945,0.448,0.433,0.943,0.945,0.248,0.213,0.87,0.879,0.332842712474619,0.262132034355964
"37",37,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.1,0.9,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,-1.11022302462516e-16,-1.11022302462516e-16
"38",38,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.05,0,0.1,0.9,0.292,0.05,0.16,0.399,0.292,0.05,0.16,0.399,0.292,0.05,0.16,0.399,0.171,0.05,0.179,0.302,0.0657455532033677,0.0341227766016838
"39",39,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.1,0.9,0.8,0.05,0.505,0.929,0.8,0.05,0.505,0.929,0.8,0.05,0.505,0.929,0.506,0.05,0.55,0.819,0.136491106406735,0.0732455532033676
"40",40,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.1,0.9,0.05,0.3,0.408,0.161,0.05,0.3,0.408,0.161,0.05,0.3,0.408,0.161,0.05,0.152,0.261,0.156,0.0682455532033674,0.0682455532033674
"41",41,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.05,0,0.1,0.9,0.281,0.285,0.756,0.754,0.281,0.285,0.756,0.754,0.281,0.285,0.756,0.754,0.163,0.146,0.64,0.651,0.138991106406735,0.107368329805051
"42",42,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.1,0,0.1,0.9,0.783,0.27,0.953,0.992,0.783,0.27,0.953,0.992,0.783,0.27,0.953,0.992,0.48,0.14,0.915,0.962,0.214736659610103,0.151491106406735
"43",43,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.1,0.9,0.05,0.787,0.917,0.474,0.05,0.787,0.917,0.474,0.05,0.787,0.917,0.474,0.05,0.424,0.724,0.453,0.146491106406735,0.146491106406735
"44",44,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.05,0,0.1,0.9,0.271,0.761,0.989,0.945,0.271,0.761,0.989,0.945,0.271,0.761,0.989,0.945,0.156,0.404,0.94,0.894,0.222236659610103,0.190613883008419
"45",45,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.1,0.9,0.763,0.734,0.999,0.999,0.763,0.734,0.999,0.999,0.763,0.734,0.999,0.999,0.454,0.384,0.994,0.995,0.30298221281347,0.239736659610103
"46",46,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0,0,0.1,0.9,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0
"47",47,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0.05,0,0.1,0.9,0.284,0.05,0.149,0.382,0.284,0.05,0.149,0.382,0.284,0.05,0.149,0.382,0.172,0.05,0.172,0.296,0.0732106781186548,0.0378553390593273
"48",48,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0.1,0,0.1,0.9,0.787,0.05,0.469,0.916,0.787,0.05,0.469,0.916,0.787,0.05,0.469,0.916,0.507,0.05,0.531,0.81,0.151421356237309,0.0807106781186548
"49",49,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0,0,0.1,0.9,0.05,0.304,0.407,0.155,0.05,0.304,0.407,0.155,0.05,0.304,0.407,0.155,0.05,0.156,0.262,0.153,0.0757106781186547,0.0757106781186547
"50",50,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0.05,0,0.1,0.9,0.273,0.287,0.739,0.732,0.273,0.287,0.739,0.732,0.273,0.287,0.739,0.732,0.163,0.148,0.63,0.64,0.15392135623731,0.118566017177982
"51",51,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0.1,0,0.1,0.9,0.768,0.271,0.942,0.989,0.768,0.271,0.942,0.989,0.768,0.271,0.942,0.989,0.479,0.142,0.906,0.958,0.237132034355964,0.16642135623731
"52",52,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0,0,0.1,0.9,0.05,0.79,0.914,0.455,0.05,0.79,0.914,0.455,0.05,0.79,0.914,0.455,0.05,0.432,0.722,0.442,0.16142135623731,0.16142135623731
"53",53,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0.05,0,0.1,0.9,0.263,0.761,0.986,0.934,0.263,0.761,0.986,0.934,0.263,0.761,0.986,0.934,0.155,0.409,0.936,0.885,0.244632034355964,0.209276695296637
"54",54,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0.1,0,0.1,0.9,0.747,0.732,0.999,0.999,0.747,0.732,0.999,0.999,0.747,0.732,0.999,0.999,0.451,0.387,0.993,0.994,0.332842712474619,0.262132034355964
"55",55,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.15,0.85,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,-1.11022302462516e-16,-1.11022302462516e-16
"56",56,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.05,0,0.15,0.85,0.416,0.05,0.219,0.559,0.416,0.05,0.219,0.559,0.416,0.05,0.219,0.559,0.238,0.05,0.249,0.43,0.0657455532033677,0.0341227766016838
"57",57,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.15,0.85,0.935,0.05,0.682,0.989,0.935,0.05,0.682,0.989,0.935,0.05,0.682,0.989,0.687,0.05,0.732,0.945,0.136491106406735,0.0732455532033676
"58",58,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.15,0.85,0.05,0.429,0.572,0.222,0.05,0.429,0.572,0.222,0.05,0.429,0.572,0.222,0.05,0.208,0.373,0.215,0.0682455532033674,0.0682455532033674
"59",59,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.05,0,0.15,0.85,0.402,0.408,0.908,0.906,0.402,0.408,0.908,0.906,0.402,0.408,0.908,0.906,0.226,0.199,0.819,0.829,0.138991106406735,0.107368329805051
"60",60,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.1,0,0.15,0.85,0.925,0.387,0.994,1,0.925,0.387,0.994,1,0.925,0.387,0.994,1,0.659,0.19,0.985,0.996,0.214736659610103,0.151491106406735
"61",61,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.15,0.85,0.05,0.928,0.986,0.651,0.05,0.928,0.986,0.651,0.05,0.928,0.986,0.651,0.05,0.593,0.886,0.626,0.146491106406735,0.146491106406735
"62",62,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.05,0,0.15,0.85,0.387,0.913,1,0.993,0.387,0.913,1,0.993,0.387,0.913,1,0.993,0.215,0.568,0.992,0.978,0.222236659610103,0.190613883008419
"63",63,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.15,0.85,0.913,0.895,1,1,0.913,0.895,1,1,0.913,0.895,1,1,0.629,0.544,1,1,0.30298221281347,0.239736659610103
"64",64,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0,0,0.15,0.85,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0
"65",65,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0.05,0,0.15,0.85,0.406,0.05,0.203,0.539,0.406,0.05,0.203,0.539,0.406,0.05,0.203,0.539,0.24,0.05,0.239,0.424,0.0732106781186548,0.0378553390593273
"66",66,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0.1,0,0.15,0.85,0.928,0.05,0.643,0.985,0.928,0.05,0.643,0.985,0.928,0.05,0.643,0.985,0.69,0.05,0.713,0.941,0.151421356237309,0.0807106781186548
"67",67,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0,0,0.15,0.85,0.05,0.437,0.573,0.213,0.05,0.437,0.573,0.214,0.05,0.437,0.573,0.214,0.05,0.215,0.375,0.211,0.0757106781186547,0.0757106781186547
"68",68,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0.05,0,0.15,0.85,0.392,0.413,0.897,0.892,0.392,0.413,0.897,0.892,0.392,0.413,0.897,0.892,0.227,0.204,0.812,0.82,0.15392135623731,0.118566017177982
"69",69,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0.1,0,0.15,0.85,0.917,0.39,0.992,1,0.917,0.39,0.992,1,0.917,0.39,0.992,1,0.66,0.194,0.982,0.996,0.237132034355964,0.16642135623731
"70",70,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0,0,0.15,0.85,0.05,0.931,0.985,0.63,0.05,0.931,0.985,0.63,0.05,0.931,0.985,0.63,0.05,0.605,0.886,0.615,0.16142135623731,0.16142135623731
"71",71,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0.05,0,0.15,0.85,0.377,0.915,0.999,0.99,0.377,0.915,0.999,0.99,0.377,0.915,0.999,0.99,0.215,0.577,0.991,0.975,0.244632034355964,0.209276695296637
"72",72,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0.1,0,0.15,0.85,0.904,0.896,1,1,0.904,0.896,1,1,0.904,0.896,1,1,0.628,0.55,1,1,0.332842712474619,0.262132034355964
"73",73,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.15,0.85,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,-1.11022302462516e-16,-1.11022302462516e-16
"74",74,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.05,0,0.15,0.85,0.416,0.05,0.219,0.559,0.416,0.05,0.219,0.559,0.416,0.05,0.219,0.559,0.238,0.05,0.249,0.43,0.0657455532033677,0.0341227766016838
"75",75,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.15,0.85,0.935,0.05,0.682,0.989,0.935,0.05,0.682,0.989,0.935,0.05,0.682,0.989,0.687,0.05,0.732,0.945,0.136491106406735,0.0732455532033676
"76",76,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.15,0.85,0.05,0.429,0.572,0.222,0.05,0.429,0.572,0.222,0.05,0.429,0.572,0.222,0.05,0.208,0.373,0.215,0.0682455532033674,0.0682455532033674
