"","nmz","ndz","a","c","e","g","b","x","PGS","A","p1","p2","p3","p4","p5","p6","p7","p8","p9","Smz","Sdz"
"37",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.15,0.85,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,-1.11022302462516e-16,-1.11022302462516e-16
"38",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.05,0,0.15,0.85,0.095,0.127,0.422,0.05,0.237,0.08,0.557,0.05,0.409,0.0657455532033677,0.0341227766016838
"39",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.15,0.85,0.231,0.322,0.944,0.05,0.69,0.161,0.988,0.05,0.929,0.136491106406735,0.0732455532033676
"40",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.15,0.85,0.232,0.341,0.208,0.206,0.05,0.521,0.216,0.427,0.05,0.0682455532033674,0.0682455532033674
"41",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.05,0,0.15,0.85,0.44,0.635,0.839,0.204,0.23,0.692,0.913,0.41,0.407,0.138991106406735,0.107368329805051
"42",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.1,0,0.15,0.85,0.658,0.842,0.996,0.192,0.651,0.804,1,0.378,0.917,0.214736659610103,0.151491106406735
"43",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.15,0.85,0.66,0.845,0.609,0.598,0.05,0.978,0.637,0.939,0.05,0.146491106406735,0.146491106406735
"44",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.05,0,0.15,0.85,0.83,0.949,0.972,0.576,0.215,0.989,0.99,0.917,0.384,0.222236659610103,0.190613883008419
"45",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.15,0.85,0.93,0.989,1,0.555,0.632,0.996,1,0.9,0.916,0.30298221281347,0.239736659610103
"46",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.15,0.85,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,-1.11022302462516e-16,-1.11022302462516e-16
"47",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.05,0,0.15,0.85,0.095,0.127,0.422,0.05,0.237,0.08,0.557,0.05,0.409,0.0657455532033677,0.0341227766016838
"48",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.15,0.85,0.231,0.322,0.944,0.05,0.69,0.161,0.988,0.05,0.929,0.136491106406735,0.0732455532033676
"49",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.15,0.85,0.232,0.341,0.208,0.206,0.05,0.521,0.216,0.427,0.05,0.0682455532033674,0.0682455532033674
"50",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.05,0,0.15,0.85,0.44,0.635,0.839,0.204,0.23,0.692,0.913,0.41,0.407,0.138991106406735,0.107368329805051
"51",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.1,0,0.15,0.85,0.658,0.842,0.996,0.192,0.651,0.804,1,0.378,0.917,0.214736659610103,0.151491106406735
"52",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.15,0.85,0.66,0.845,0.609,0.598,0.05,0.978,0.637,0.939,0.05,0.146491106406735,0.146491106406735
"53",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.05,0,0.15,0.85,0.83,0.949,0.972,0.576,0.215,0.989,0.99,0.917,0.384,0.222236659610103,0.190613883008419
"54",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.15,0.85,0.93,0.989,1,0.555,0.632,0.996,1,0.9,0.916,0.30298221281347,0.239736659610103
"55",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.15,0.85,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,-1.11022302462516e-16,-1.11022302462516e-16
"56",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.05,0,0.15,0.85,0.095,0.127,0.422,0.05,0.237,0.08,0.557,0.05,0.409,0.0657455532033677,0.0341227766016838
"57",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.15,0.85,0.231,0.322,0.944,0.05,0.69,0.161,0.988,0.05,0.929,0.136491106406735,0.0732455532033676
"58",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.15,0.85,0.232,0.341,0.208,0.206,0.05,0.521,0.216,0.427,0.05,0.0682455532033674,0.0682455532033674
"59",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.05,0,0.15,0.85,0.44,0.635,0.839,0.204,0.23,0.692,0.913,0.41,0.407,0.138991106406735,0.107368329805051
"60",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.1,0,0.15,0.85,0.658,0.842,0.996,0.192,0.651,0.804,1,0.378,0.917,0.214736659610103,0.151491106406735
"61",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.15,0.85,0.66,0.845,0.609,0.598,0.05,0.978,0.637,0.939,0.05,0.146491106406735,0.146491106406735
"62",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.05,0,0.15,0.85,0.83,0.949,0.972,0.576,0.215,0.989,0.99,0.917,0.384,0.222236659610103,0.190613883008419
"63",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.15,0.85,0.93,0.989,1,0.555,0.632,0.996,1,0.9,0.916,0.30298221281347,0.239736659610103
