"","nmz","ndz","a","c","e","g","b","x","PGS","A","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12","p13","p14","p15","p16","Smz","Sdz"
"21",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.01,0.09,0,0.1,0.9,0.905,0.558,0.711,0.059,0.905,0.558,0.711,0.059,0.905,0.558,0.711,0.059,0.79,0.569,0.426,0.054,0.136591106406735,0.0796701085237044
"22",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.01,0.1,0,0.1,0.9,0.951,0.638,0.797,0.059,0.951,0.638,0.797,0.059,0.951,0.638,0.797,0.059,0.862,0.649,0.501,0.054,0.151340217047409,0.088094663844041
"23",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0,0,0.1,0.9,0.067,0.108,0.05,0.09,0.067,0.108,0.05,0.09,0.067,0.108,0.05,0.09,0.067,0.084,0.05,0.067,0.026098221281347,0.026098221281347
"24",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.01,0,0.1,0.9,0.112,0.144,0.059,0.09,0.112,0.144,0.059,0.09,0.112,0.144,0.059,0.09,0.102,0.115,0.055,0.066,0.0392473319220206,0.0329227766016837
"25",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.02,0,0.1,0.9,0.186,0.189,0.087,0.089,0.186,0.189,0.087,0.089,0.186,0.189,0.087,0.089,0.159,0.156,0.069,0.066,0.0525964425626939,0.0399473319220205
"26",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.03,0,0.1,0.9,0.289,0.244,0.134,0.089,0.289,0.244,0.134,0.089,0.289,0.244,0.134,0.089,0.236,0.209,0.092,0.066,0.0661455532033677,0.0471718872423574
"27",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.04,0,0.1,0.9,0.415,0.307,0.202,0.088,0.415,0.307,0.201,0.088,0.415,0.307,0.201,0.088,0.332,0.272,0.125,0.066,0.079894663844041,0.0545964425626941
"28",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.05,0,0.1,0.9,0.55,0.378,0.288,0.088,0.55,0.378,0.288,0.088,0.55,0.378,0.288,0.088,0.441,0.344,0.168,0.066,0.0938437744847147,0.0622209978830308
"29",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.06,0,0.1,0.9,0.68,0.454,0.388,0.087,0.68,0.454,0.388,0.087,0.68,0.454,0.388,0.087,0.554,0.423,0.22,0.065,0.107992885125388,0.0700455532033675
"30",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.07,0,0.1,0.9,0.791,0.533,0.497,0.087,0.791,0.533,0.497,0.087,0.791,0.533,0.497,0.087,0.662,0.505,0.281,0.065,0.122341995766061,0.0780701085237041
"31",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.08,0,0.1,0.9,0.875,0.611,0.606,0.086,0.875,0.611,0.606,0.086,0.875,0.611,0.606,0.086,0.759,0.587,0.349,0.065,0.136891106406735,0.0862946638440412
"32",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.09,0,0.1,0.9,0.933,0.686,0.707,0.086,0.933,0.686,0.707,0.086,0.933,0.686,0.707,0.086,0.837,0.665,0.421,0.065,0.151640217047408,0.0947192191643778
"33",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.1,0,0.1,0.9,0.967,0.755,0.794,0.085,0.967,0.755,0.794,0.085,0.967,0.755,0.794,0.085,0.897,0.737,0.496,0.065,0.166589327688082,0.103343774484715
"34",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0,0,0.1,0.9,0.089,0.183,0.05,0.141,0.089,0.183,0.05,0.141,0.089,0.183,0.05,0.141,0.088,0.126,0.05,0.087,0.0397473319220203,0.0397473319220203
"35",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.01,0,0.1,0.9,0.151,0.234,0.059,0.14,0.151,0.234,0.059,0.14,0.151,0.234,0.059,0.14,0.137,0.171,0.055,0.087,0.0530964425626941,0.046771887242357
"36",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.02,0,0.1,0.9,0.241,0.294,0.086,0.139,0.241,0.294,0.086,0.139,0.241,0.294,0.086,0.139,0.207,0.226,0.068,0.086,0.0666455532033674,0.0539964425626938
"37",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.03,0,0.1,0.9,0.357,0.361,0.133,0.138,0.357,0.361,0.133,0.138,0.357,0.361,0.133,0.138,0.296,0.291,0.092,0.086,0.0803946638440411,0.0614209978830307
"38",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.04,0,0.1,0.9,0.489,0.434,0.2,0.137,0.489,0.435,0.2,0.137,0.489,0.435,0.2,0.137,0.401,0.364,0.124,0.085,0.0943437744847144,0.0690455532033676
"39",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.05,0,0.1,0.9,0.623,0.511,0.286,0.135,0.623,0.511,0.286,0.135,0.623,0.511,0.286,0.135,0.513,0.442,0.167,0.085,0.108492885125388,0.0768701085237042
"40",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.06,0,0.1,0.9,0.744,0.588,0.386,0.134,0.744,0.588,0.386,0.134,0.744,0.588,0.386,0.134,0.623,0.524,0.218,0.084,0.122841995766062,0.0848946638440409
"41",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.07,0,0.1,0.9,0.84,0.662,0.494,0.133,0.84,0.662,0.494,0.133,0.84,0.662,0.494,0.133,0.725,0.605,0.278,0.084,0.137391106406735,0.0931192191643779
"42",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.08,0,0.1,0.9,0.91,0.732,0.603,0.132,0.91,0.732,0.602,0.132,0.91,0.732,0.602,0.132,0.81,0.681,0.345,0.084,0.152140217047409,0.101543774484715
"43",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.09,0,0.1,0.9,0.954,0.794,0.703,0.131,0.954,0.794,0.703,0.131,0.954,0.794,0.703,0.131,0.877,0.751,0.416,0.083,0.167089327688082,0.110168329805051
"44",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.1,0,0.1,0.9,0.979,0.847,0.79,0.13,0.979,0.847,0.79,0.13,0.979,0.847,0.79,0.13,0.925,0.812,0.49,0.083,0.182238438328755,0.118992885125388
"45",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0,0,0.1,0.9,0.12,0.285,0.05,0.212,0.12,0.285,0.05,0.212,0.121,0.285,0.05,0.212,0.118,0.186,0.05,0.116,0.0537964425626938,0.0537964425626938
"46",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.01,0,0.1,0.9,0.198,0.349,0.059,0.21,0.198,0.349,0.059,0.21,0.198,0.349,0.059,0.21,0.18,0.243,0.055,0.115,0.0673455532033675,0.0610209978830305
"47",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.02,0,0.1,0.9,0.304,0.419,0.086,0.208,0.304,0.419,0.086,0.208,0.304,0.419,0.086,0.208,0.263,0.31,0.068,0.114,0.0810946638440408,0.0684455532033674
"48",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.03,0,0.1,0.9,0.43,0.493,0.133,0.206,0.43,0.493,0.133,0.206,0.43,0.493,0.133,0.206,0.362,0.384,0.091,0.113,0.0950437744847146,0.0760701085237043
"49",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.04,0,0.1,0.9,0.564,0.568,0.199,0.204,0.564,0.568,0.199,0.204,0.564,0.568,0.199,0.204,0.472,0.463,0.123,0.112,0.109192885125388,0.083894663844041
