"","nmz","ndz","a","c","e","g","b","x","PGS","A","p1","p2","p3","p4","p5","p6","p7","p8","p9","Smz","Sdz"
"27",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.04,0,0.1,0.9,0.125,0.171,0.333,0.066,0.125,0.163,0.414,0.088,0.199,0.079894663844041,0.0545964425626941
"28",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.05,0,0.1,0.9,0.145,0.198,0.436,0.065,0.166,0.183,0.539,0.088,0.288,0.0938437744847147,0.0622209978830308
"29",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.06,0,0.1,0.9,0.167,0.233,0.545,0.066,0.223,0.2,0.677,0.087,0.387,0.107992885125388,0.0700455532033675
"30",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.07,0,0.1,0.9,0.191,0.272,0.664,0.065,0.281,0.223,0.793,0.087,0.498,0.122341995766061,0.0780701085237041
"31",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.08,0,0.1,0.9,0.218,0.31,0.769,0.065,0.34,0.24,0.879,0.085,0.602,0.136891106406735,0.0862946638440412
"32",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.09,0,0.1,0.9,0.246,0.349,0.83,0.064,0.405,0.264,0.93,0.085,0.692,0.151640217047408,0.0947192191643778
"33",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.02,0.1,0,0.1,0.9,0.276,0.403,0.89,0.065,0.499,0.291,0.963,0.085,0.786,0.166589327688082,0.103343774484715
"34",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0,0,0.1,0.9,0.092,0.12,0.089,0.088,0.05,0.164,0.089,0.139,0.05,0.0397473319220203,0.0397473319220203
"35",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.01,0,0.1,0.9,0.108,0.143,0.14,0.087,0.055,0.19,0.153,0.142,0.059,0.0530964425626941,0.046771887242357
"36",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.02,0,0.1,0.9,0.125,0.164,0.206,0.085,0.068,0.201,0.24,0.135,0.086,0.0666455532033674,0.0539964425626938
"37",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.03,0,0.1,0.9,0.145,0.206,0.304,0.087,0.094,0.235,0.367,0.141,0.137,0.0803946638440411,0.0614209978830307
"38",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.04,0,0.1,0.9,0.167,0.239,0.394,0.087,0.126,0.249,0.474,0.136,0.196,0.0943437744847144,0.0690455532033676
"39",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.05,0,0.1,0.9,0.192,0.265,0.52,0.084,0.169,0.264,0.64,0.131,0.289,0.108492885125388,0.0768701085237042
"40",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.06,0,0.1,0.9,0.218,0.317,0.616,0.084,0.211,0.294,0.739,0.132,0.374,0.122841995766062,0.0848946638440409
"41",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.07,0,0.1,0.9,0.246,0.353,0.733,0.085,0.29,0.327,0.845,0.135,0.507,0.137391106406735,0.0931192191643779
"42",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.08,0,0.1,0.9,0.276,0.389,0.815,0.083,0.348,0.343,0.915,0.13,0.604,0.152140217047409,0.101543774484715
"43",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.09,0,0.1,0.9,0.308,0.448,0.871,0.083,0.405,0.369,0.955,0.128,0.692,0.167089327688082,0.110168329805051
"44",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.1,0,0.1,0.9,0.34,0.493,0.925,0.084,0.502,0.4,0.984,0.13,0.807,0.182238438328755,0.118992885125388
"45",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0,0,0.1,0.9,0.125,0.173,0.115,0.116,0.05,0.264,0.116,0.216,0.05,0.0537964425626938,0.0537964425626938
"46",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.01,0,0.1,0.9,0.145,0.193,0.182,0.111,0.055,0.273,0.197,0.204,0.059,0.0673455532033675,0.0610209978830305
"47",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.02,0,0.1,0.9,0.167,0.236,0.268,0.114,0.069,0.305,0.306,0.205,0.086,0.0810946638440408,0.0684455532033674
"48",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.03,0,0.1,0.9,0.192,0.264,0.352,0.11,0.089,0.324,0.428,0.201,0.133,0.0950437744847146,0.0760701085237043
"49",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.04,0,0.1,0.9,0.218,0.315,0.475,0.113,0.123,0.356,0.563,0.201,0.197,0.109192885125388,0.083894663844041
"50",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.05,0,0.1,0.9,0.247,0.357,0.595,0.113,0.17,0.389,0.704,0.203,0.289,0.123541995766062,0.0919192191643776
"51",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.06,0,0.1,0.9,0.277,0.398,0.701,0.11,0.217,0.411,0.798,0.198,0.379,0.138091106406735,0.100143774484715
"52",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.07,0,0.1,0.9,0.308,0.446,0.792,0.111,0.28,0.449,0.883,0.203,0.501,0.152840217047409,0.108568329805051
"53",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.08,0,0.1,0.9,0.341,0.475,0.859,0.107,0.34,0.45,0.933,0.188,0.582,0.167789327688082,0.117192885125388
"54",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.09,0,0.1,0.9,0.375,0.52,0.902,0.108,0.411,0.487,0.966,0.192,0.693,0.182938438328756,0.126017440445725
"55",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.1,0,0.1,0.9,0.409,0.587,0.937,0.11,0.48,0.525,0.985,0.195,0.782,0.198287548969429,0.135041995766061
"56",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.1,0.9,0.167,0.239,0.152,0.154,0.05,0.372,0.153,0.306,0.05,0.0682455532033674,0.0682455532033674
"57",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.01,0,0.1,0.9,0.192,0.278,0.231,0.15,0.054,0.402,0.25,0.299,0.059,0.081994663844041,0.0756701085237044
"58",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.02,0,0.1,0.9,0.218,0.309,0.324,0.148,0.068,0.425,0.366,0.295,0.086,0.0959437744847147,0.0832946638440411
"59",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.03,0,0.1,0.9,0.247,0.37,0.444,0.152,0.092,0.456,0.513,0.294,0.134,0.110092885125388,0.0911192191643777
"60",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.04,0,0.1,0.9,0.277,0.4,0.55,0.147,0.123,0.488,0.635,0.294,0.198,0.124441995766062,0.0991437744847146
"61",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.05,0,0.1,0.9,0.308,0.449,0.667,0.149,0.171,0.504,0.761,0.284,0.285,0.138991106406735,0.107368329805051
"62",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.06,0,0.1,0.9,0.341,0.5,0.762,0.144,0.209,0.543,0.851,0.286,0.377,0.153740217047408,0.115792885125388
"63",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.07,0,0.1,0.9,0.375,0.533,0.831,0.144,0.274,0.553,0.916,0.277,0.492,0.168689327688082,0.124417440445725
"64",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.08,0,0.1,0.9,0.41,0.578,0.898,0.141,0.336,0.584,0.957,0.276,0.597,0.183838438328756,0.133241995766062
"65",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.09,0,0.1,0.9,0.445,0.589,0.931,0.135,0.4,0.593,0.979,0.264,0.685,0.199187548969429,0.142266551086398
"66",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.1,0,0.1,0.9,0.48,0.621,0.962,0.131,0.459,0.619,0.991,0.264,0.776,0.214736659610103,0.151491106406735
"67",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0,0,0.1,0.9,0.218,0.337,0.203,0.208,0.05,0.505,0.205,0.411,0.05,0.0830946638440411,0.0830946638440411
"68",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.01,0,0.1,0.9,0.247,0.351,0.293,0.188,0.054,0.512,0.325,0.391,0.059,0.0970437744847146,0.0907192191643778
"69",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.02,0,0.1,0.9,0.277,0.396,0.389,0.188,0.067,0.545,0.434,0.392,0.085,0.111192885125388,0.0985437744847144
"70",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.03,0,0.1,0.9,0.309,0.442,0.518,0.188,0.091,0.571,0.593,0.388,0.134,0.125541995766062,0.106568329805051
"71",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.04,0,0.1,0.9,0.342,0.476,0.591,0.187,0.12,0.597,0.694,0.387,0.197,0.140091106406735,0.114792885125388
"72",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.05,0,0.1,0.9,0.375,0.535,0.728,0.188,0.166,0.627,0.816,0.386,0.289,0.154840217047409,0.123217440445725
"73",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.06,0,0.1,0.9,0.41,0.588,0.804,0.188,0.212,0.656,0.89,0.383,0.382,0.169789327688082,0.131841995766062
"74",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.07,0,0.1,0.9,0.445,0.601,0.862,0.182,0.275,0.668,0.938,0.377,0.5,0.184938438328756,0.140666551086398
"75",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.08,0,0.1,0.9,0.48,0.667,0.92,0.184,0.335,0.701,0.966,0.375,0.583,0.200287548969429,0.149691106406735
"76",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.09,0,0.1,0.9,0.515,0.703,0.955,0.183,0.409,0.718,0.987,0.366,0.689,0.215836659610102,0.158915661727072
"77",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.1,0,0.1,0.9,0.55,0.749,0.977,0.181,0.472,0.73,0.996,0.356,0.781,0.231585770250776,0.168340217047409
"78",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.07,0,0,0.1,0.9,0.277,0.396,0.251,0.25,0.05,0.608,0.262,0.508,0.05,0.0983437744847144,0.0983437744847144
"79",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.07,0.01,0,0.1,0.9,0.309,0.448,0.355,0.239,0.054,0.637,0.388,0.504,0.059,0.112492885125388,0.106168329805051
"80",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.07,0.02,0,0.1,0.9,0.342,0.491,0.461,0.241,0.067,0.657,0.514,0.498,0.086,0.126841995766062,0.114192885125388
"81",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.07,0.03,0,0.1,0.9,0.376,0.548,0.589,0.245,0.091,0.679,0.662,0.486,0.132,0.141391106406735,0.122417440445725
"82",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.07,0.04,0,0.1,0.9,0.41,0.592,0.662,0.236,0.116,0.708,0.758,0.486,0.191,0.156140217047409,0.130841995766062
"83",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.07,0.05,0,0.1,0.9,0.446,0.609,0.771,0.228,0.158,0.727,0.857,0.481,0.277,0.171089327688082,0.139466551086398
"84",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.07,0.06,0,0.1,0.9,0.481,0.657,0.84,0.228,0.203,0.745,0.913,0.474,0.368,0.186238438328756,0.148291106406735
"85",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.07,0.07,0,0.1,0.9,0.516,0.702,0.887,0.231,0.259,0.764,0.953,0.472,0.474,0.201587548969429,0.157315661727072
"86",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.07,0.08,0,0.1,0.9,0.551,0.716,0.945,0.219,0.327,0.776,0.983,0.462,0.6,0.217136659610103,0.166540217047408
"87",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.07,0.09,0,0.1,0.9,0.585,0.763,0.97,0.222,0.398,0.818,0.992,0.477,0.687,0.232885770250776,0.175964772367745
"88",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.07,0.1,0,0.1,0.9,0.618,0.809,0.982,0.23,0.476,0.812,0.997,0.455,0.772,0.24883488089145,0.185589327688082
"89",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0,0,0.1,0.9,0.342,0.509,0.312,0.309,0.05,0.727,0.318,0.617,0.05,0.113992885125388,0.113992885125388
