"","nmz","ndz","a","c","e","g","b","x","PGS","A","e1","e2","e3","e4","e5","e6","e7","e8","e9","e10","e11","e12","e13","e14","e15","e16","Smz","Sdz"
"31",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0,0,0.05,0.95,0.05,0.029,0.05,0,0.05,0.029,0.05,0,0.05,0.029,0.05,0,0.05,0.033,0.05,0,"7.57%","7.57%"
"32",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0.05,0,0.05,0.95,0.077,0.079,0.05,0.05,0.077,0.079,0.05,0.05,0.077,0.079,0.05,0.05,0.088,0.083,0.05,0.05,"15.39%","11.86%"
"33",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0.1,0,0.05,0.95,0.108,0.129,0.05,0.1,0.108,0.129,0.05,0.1,0.108,0.129,0.05,0.1,0.129,0.133,0.05,0.1,"23.71%","16.64%"
"34",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0,0,0.05,0.95,0.1,0.058,0.1,0,0.1,0.058,0.1,0,0.1,0.058,0.1,0,0.1,0.067,0.1,0,"16.14%","16.14%"
"35",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0.05,0,0.05,0.95,0.128,0.108,0.1,0.05,0.128,0.108,0.1,0.05,0.128,0.108,0.1,0.05,0.139,0.117,0.1,0.05,"24.46%","20.93%"
"36",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0.1,0,0.05,0.95,0.16,0.157,0.1,0.1,0.16,0.157,0.1,0.1,0.16,0.157,0.1,0.1,0.181,0.167,0.1,0.1,"33.28%","26.21%"
"37",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%"
"38",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.05,0,0.1,0.9,0.027,0.05,0,0.05,0.028,0.05,0,0.05,0.027,0.05,0,0.05,0.039,0.05,0,0.05,"6.57%","3.41%"
"39",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.1,0.9,0.058,0.1,0,0.1,0.058,0.1,0,0.1,0.058,0.1,0,0.1,0.079,0.1,0,0.1,"13.65%","7.32%"
"40",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.1,0.9,0.05,0.029,0.05,0,0.05,0.029,0.05,0,0.05,0.029,0.05,0,0.05,0.033,0.05,0,"6.82%","6.82%"
"41",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.05,0,0.1,0.9,0.078,0.079,0.05,0.05,0.078,0.079,0.05,0.05,0.078,0.079,0.05,0.05,0.089,0.083,0.05,0.05,"13.90%","10.74%"
"42",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.1,0,0.1,0.9,0.11,0.129,0.05,0.1,0.11,0.129,0.05,0.1,0.11,0.129,0.05,0.1,0.131,0.133,0.05,0.1,"21.47%","15.15%"
"43",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.1,0.9,0.1,0.058,0.1,0,0.1,0.058,0.1,0,0.1,0.058,0.1,0,0.1,0.067,0.1,0,"14.65%","14.65%"
