"","nmz","ndz","a","c","e","g","b","x","prs","A","e1","e2","e3","e4","e5","e6","e7","e8","e9","e10","e11","e12","e13","e14","e15","e16"
"26",4000,4000,0.707106781186548,0.547722557505166,0.547722557505166,0.1,0.05,0,0.02,0.98,0.13,0.108,0.1,0.05,0.13,0.108,0.1,0.05,0.13,0.108,0.1,0.05,0.14,0.117,0.1,0.05
"27",4000,4000,0.707106781186548,0.547722557505166,0.547722557505166,0.1,0.1,0,0.02,0.98,0.162,0.157,0.1,0.1,0.162,0.157,0.1,0.1,0.162,0.157,0.1,0.1,0.182,0.167,0.1,0.1
"28",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0,0,0.02,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0.05,0,0.02,0.98,0.026,0.05,0,0.05,0.026,0.05,0,0.05,0.026,0.05,0,0.05,0.038,0.05,0,0.05
"30",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0.1,0,0.02,0.98,0.056,0.1,0,0.1,0.056,0.1,0,0.1,0.056,0.1,0,0.1,0.078,0.1,0,0.1
"31",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0,0,0.02,0.98,0.05,0.029,0.05,0,0.05,0.029,0.05,0,0.05,0.029,0.05,0,0.05,0.034,0.05,0
"32",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0.05,0,0.02,0.98,0.077,0.079,0.05,0.05,0.078,0.079,0.05,0.05,0.077,0.079,0.05,0.05,0.089,0.083,0.05,0.05
"33",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0.1,0,0.02,0.98,0.108,0.129,0.05,0.1,0.108,0.129,0.05,0.1,0.108,0.129,0.05,0.1,0.129,0.134,0.05,0.1
"34",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0,0,0.02,0.98,0.1,0.058,0.1,0,0.1,0.058,0.1,0,0.1,0.058,0.1,0,0.1,0.067,0.1,0
"35",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0.05,0,0.02,0.98,0.129,0.108,0.1,0.05,0.129,0.108,0.1,0.05,0.129,0.108,0.1,0.05,0.139,0.117,0.1,0.05
"36",4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0.1,0,0.02,0.98,0.16,0.157,0.1,0.1,0.16,0.158,0.1,0.1,0.16,0.157,0.1,0.1,0.181,0.167,0.1,0.1
