"","nmz","ndz","a","c","e","g","b","x","PGS","A","e1","e2","e3","e4","e5","e6","e7","e8","e9","e10","e11","e12","e13","e14","e15","e16","Smz","Sdz"
"22",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.06,0,0.02,0.98,0.095,0.094,0.06,0.06,0.095,0.094,0.06,0.06,0.095,0.094,0.06,0.06,0.108,0.1,0.06,0.06,0.169789327688082,0.131841995766062
"23",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.08,0,0.02,0.98,0.107,0.114,0.06,0.08,0.107,0.114,0.06,0.08,0.108,0.114,0.06,0.08,0.124,0.12,0.06,0.08,0.200287548969429,0.149691106406735
"24",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.1,0,0.02,0.98,0.12,0.134,0.06,0.1,0.12,0.134,0.06,0.1,0.121,0.135,0.06,0.1,0.141,0.14,0.06,0.1,0.231585770250776,0.168340217047409
"25",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0,0,0.02,0.98,0.08,0.046,0.08,0,0.08,0.046,0.08,0,0.08,0.046,0.08,0,0.08,0.053,0.08,0,0.113992885125388,0.113992885125388
"26",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.02,0,0.02,0.98,0.091,0.066,0.08,0.02,0.091,0.066,0.08,0.02,0.091,0.066,0.08,0.02,0.096,0.074,0.08,0.02,0.142891106406735,0.130241995766061
"27",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.04,0,0.02,0.98,0.103,0.086,0.08,0.04,0.103,0.086,0.08,0.04,0.103,0.086,0.08,0.04,0.112,0.094,0.08,0.04,0.172589327688082,0.147291106406735
"28",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.06,0,0.02,0.98,0.115,0.106,0.08,0.06,0.115,0.106,0.08,0.06,0.115,0.106,0.08,0.06,0.128,0.113,0.08,0.06,0.203087548969429,0.165140217047409
"29",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.08,0,0.02,0.98,0.128,0.126,0.08,0.08,0.128,0.127,0.08,0.08,0.128,0.126,0.08,0.08,0.145,0.133,0.08,0.08,0.234385770250776,0.183789327688082
"30",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.08,0.1,0,0.02,0.98,0.141,0.146,0.08,0.1,0.141,0.146,0.08,0.1,0.141,0.146,0.08,0.1,0.162,0.153,0.08,0.1,0.266483991532123,0.203238438328756
"31",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.02,0.98,0.1,0.058,0.1,0,0.1,0.058,0.1,0,0.1,0.058,0.1,0,0.1,0.067,0.1,0,0.146491106406735,0.146491106406735
