nmz,ndz,a,c,e,g,b,x,prs,A,t1,t2,t3,t4,t5,t6
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0.1,0,0,0.1,0.9,11.054,7.646,-0,11.054,7.646,0
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0.1,0,0,0.1,0.9,10.964,7.719,-0,10.964,7.719,-0
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0.05,0,0,0.1,0.9,2.972,2.093,-0,2.972,2.093,-0
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0.05,0,0,0.1,0.9,2.969,2.132,-0,2.969,2.132,-0
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0,0.1,0,0.1,0.9,11.148,-0,7.603,11.148,-0,7.603
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0,0.1,0,0.1,0.9,10.6,-0,7.364,10.6,-0,7.364
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0.1,0.1,0,0.1,0.9,32.623,6.653,6.895,32.623,6.653,6.895
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0.1,0.1,0,0.1,0.9,31.34,6.643,6.655,31.34,6.643,6.655
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0.05,0.1,0,0.1,0.9,19.754,1.816,7.252,19.754,1.816,7.252
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0.05,0.1,0,0.1,0.9,18.885,1.825,7.01,18.885,1.825,7.01
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0,0.05,0,0.1,0.9,2.752,-0,1.924,2.752,-0,1.924
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0,0.05,0,0.1,0.9,2.615,-0,1.865,2.615,-0,1.865
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0.1,0.05,0,0.1,0.9,19.139,7.131,1.753,19.139,7.131,1.752
3999,4001,0.7745966692414834,0.31622776601683794,0.5477225575051661,0.1,0.05,0,0.1,0.9,18.572,7.157,1.69,18.572,7.157,1.69
3999,4001,0.7071067811865476,0.44721359549995793,0.5477225575051661,0.05,0.05,0,0.1,0.9,8.597,1.95,1.839,8.597,1.95,1.839
